时间,华东5500K,华东4500K,华东3800K,华南5500K,华南4500K,华南3800K,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-01-24,760.00,590.00,449.00,760.00,590.00,450.00,12,2025-01-24 00:00:00,1,0,2025-01-25 23:01:48,0,2025-01-25 23:01:48,,,
2025-02-07,760.00,590.00,449.00,760.00,590.00,450.00,13,2025-02-07 00:00:00,1,0,2025-02-08 23:14:18,0,2025-02-08 23:14:18,,,
2025-02-14,760.00,590.00,448.00,760.00,590.00,449.00,14,2025-02-14 00:00:00,1,0,2025-02-17 23:14:18,0,2025-02-17 23:14:18,,,
2025-02-21,725.00,565.00,460.00,727.00,565.00,462.00,15,2025-02-21 00:00:00,1,0,2025-02-22 23:01:51,0,2025-02-22 23:01:51,,,
2025-02-28,700.00,530.00,464.00,699.00,525.00,462.00,16,2025-02-28 00:00:00,1,0,2025-03-01 23:01:52,0,2025-03-01 23:01:52,,,
2025-03-07,710.00,555.00,470.00,708.00,550.00,465.00,17,2025-03-07 00:00:00,1,0,2025-03-08 23:01:49,0,2025-03-08 23:01:49,,,
2025-03-14,701.00,565.00,470.00,699.00,563.00,468.00,18,2025-03-14 00:00:00,1,0,2025-03-15 23:01:50,0,2025-03-15 23:01:50,,,
2025-03-21,695.00,561.00,469.00,693.00,562.00,466.00,19,2025-03-21 00:00:00,1,0,2025-03-24 23:14:36,0,2025-03-24 23:14:36,,,
2025-03-28,695.00,555.00,459.00,692.00,553.00,460.00,20,2025-03-28 00:00:00,1,0,2025-03-29 23:01:49,0,2025-03-29 23:01:49,,,
2025-04-11,692.00,552.00,457.00,692.00,550.00,459.00,21,2025-04-11 00:00:00,1,0,2025-04-12 23:01:57,0,2025-04-12 23:01:57,,,
2025-04-18,688.00,548.00,453.00,688.00,545.00,457.00,22,2025-04-18 00:00:00,1,0,2025-04-19 23:01:54,0,2025-04-19 23:01:54,,,
2025-04-25,686.00,542.00,452.00,685.00,540.00,453.00,23,2025-04-25 00:00:00,1,0,2025-04-26 23:01:50,0,2025-04-26 23:01:50,,,
2025-05-09,668.00,525.00,437.00,670.00,525.00,438.00,24,2025-05-09 00:00:00,1,0,2025-05-10 23:01:45,0,2025-05-10 23:01:45,,,
2025-05-16,652.00,510.00,428.00,650.00,508.00,427.00,25,2025-05-16 00:00:00,1,0,2025-05-19 23:16:45,0,2025-05-19 23:16:45,,,
2025-05-23,638.00,504.00,421.00,635.00,500.00,420.00,26,2025-05-23 00:00:00,1,0,2025-05-24 23:01:46,0,2025-05-24 23:01:46,,,
2025-05-30,630.00,496.00,410.00,630.00,493.00,407.00,27,2025-05-30 00:00:00,1,0,2025-05-31 23:01:47,0,2025-05-31 23:01:47,,,
2025-06-06,630.00,492.00,388.00,630.00,490.00,390.00,28,2025-06-06 00:00:00,1,0,2025-06-07 23:01:54,0,2025-06-07 23:01:54,,,
2025-06-13,628.00,488.00,384.00,625.00,485.00,385.00,29,2025-06-13 00:00:00,1,0,2025-06-14 23:01:53,0,2025-06-14 23:01:53,,,
2025-06-20,628.00,478.00,375.00,625.00,475.00,374.00,30,2025-06-20 00:00:00,1,0,2025-06-21 23:01:52,0,2025-06-21 23:01:52,,,
2025-06-27,629.00,480.00,378.00,627.00,478.00,376.00,31,2025-06-27 00:00:00,1,0,2025-06-28 23:01:48,0,2025-06-28 23:01:48,,,
2025-07-04,631.00,490.00,384.00,630.00,488.00,382.00,32,2025-07-04 00:00:00,1,0,2025-07-05 23:01:49,0,2025-07-05 23:01:49,,,
2025-07-11,632.00,491.00,394.00,631.00,489.00,393.00,33,2025-07-11 00:00:00,1,0,2025-07-12 23:01:50,0,2025-07-12 23:01:50,,,
2025-07-18,632.00,495.00,399.00,631.00,493.00,398.00,34,2025-07-18 00:00:00,1,0,2025-07-19 23:01:51,0,2025-07-19 23:01:51,,,
2025-07-25,637.00,497.00,407.00,635.00,495.00,405.00,35,2025-07-25 00:00:00,1,0,2025-07-26 23:01:48,0,2025-07-26 23:01:48,,,
2025-08-01,650.00,513.00,408.00,648.00,510.00,407.00,36,2025-08-01 00:00:00,1,0,2025-08-02 23:01:50,0,2025-08-02 23:01:50,,,
2025-08-08,660.00,520.00,416.00,658.00,517.00,414.00,37,2025-08-08 00:00:00,1,0,2025-08-08 23:15:01,0,2025-08-08 23:15:01,,,
2025-08-15,675.00,535.00,430.00,670.00,533.00,426.00,38,2025-08-15 00:00:00,1,0,2025-08-18 23:14:19,0,2025-08-18 23:14:19,,,
2025-08-22,680.00,534.00,430.00,675.00,532.00,431.00,39,2025-08-22 00:00:00,1,0,2025-08-22 23:14:59,0,2025-08-22 23:14:59,,,
2025-08-29,680.00,533.00,414.00,675.00,531.00,413.00,40,2025-08-29 00:00:00,1,0,2025-08-29 23:14:51,0,2025-08-29 23:14:51,,,
2025-09-05,672.00,527.00,405.00,668.00,525.00,403.00,41,2025-09-05 00:00:00,1,0,2025-09-05 23:14:55,0,2025-09-05 23:14:55,,,
2025-09-12,673.00,528.00,411.00,668.00,525.00,410.00,42,2025-09-12 00:00:00,1,0,2025-09-12 23:15:06,0,2025-09-12 23:15:06,,,
