时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,贫煤,榆次区,20.00,13.00,1.20,,6000.00,760.00,坑口价,1,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,贫煤,左权县,15.00,17.00,0.90,,6200.00,770.00,坑口价,2,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤3#,邯郸市,11.00,13.00,0.70,,6000.00,1250.00,车板价,3,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤2#,邯郸市,11.00,11.00,0.50,,,1155.00,长协价,4,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤1#,邯郸市,11.00,11.00,0.50,,,1155.00,市场价,5,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,场地价,6,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,寿阳县,11.50,12.00,0.75,,7100.00,1140.00,车板价,7,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,潞城市,10.50,13.00,0.35,,6700.00,1160.00,车板价,8,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,长治市,12.50,15.50,0.45,,6000.00,1130.00,车板价,9,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,屯留县,9.50,15.50,0.35,,6800.00,1160.00,车板价,10,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,喷吹煤,哈密市,8.00,30.00,0.50,,5800.00,395.00,车板价,11,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-19,动力煤1#,翼城县,19.00,12.50,0.95,,6000.00,780.00,坑口价,12,2024-07-19 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,贫煤,榆次区,20.00,13.00,1.20,,6000.00,760.00,坑口价,13,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,贫煤,左权县,15.00,17.00,0.90,,6200.00,770.00,坑口价,14,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤3#,邯郸市,11.00,13.00,0.70,,6000.00,1250.00,车板价,15,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤2#,邯郸市,11.00,11.00,0.50,,,1155.00,长协价,16,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤1#,邯郸市,11.00,11.00,0.50,,,1155.00,市场价,17,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤,潞城市,10.50,13.00,0.35,,6700.00,1160.00,车板价,18,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤,屯留县,9.50,15.50,0.35,,6800.00,1160.00,车板价,19,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤,京唐港,11.00,12.00,0.30,,,1180.00,场地价,20,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤,寿阳县,11.50,12.00,0.75,,7100.00,1140.00,车板价,21,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
2024-07-18,喷吹煤,长治市,12.50,15.50,0.45,,6000.00,1130.00,车板价,22,2024-07-18 00:00:00,1,0,2024-07-20 02:41:55,0,2024-07-20 02:41:55,,,
