时间,企业名称,企业属地,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,日照钢铁,山东省,二级焦,1870.00,出厂价,承兑;山东省内采购,1,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,日照钢铁,山东省,二级焦,1880.00,出厂价,承兑;省外采购,2,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,潍坊钢铁,山东省,二级焦,2270.00,出厂价,承兑;华北、华东采购,3,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,莱钢永锋,山东省,一级焦,1880.00,出厂价,承兑;,4,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,莱钢永锋,山东省,二级焦,1830.00,出厂价,承兑;,5,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,沙钢,江苏省,二级焦,1625.00,出厂价,承兑;华北、华东采购,6,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,中天钢铁,江苏省,准一级焦,2087.00,出厂价,承兑;华北、华东采购,7,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,永钢,江苏省,准一级焦,2087.00,出厂价,承兑;,8,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,方大特钢,江西省,二级焦,1980.00,出厂价,承兑;华东采购,9,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,福建三钢,福建省,二级焦,2160.00,出厂价,承兑;华北、华东采购,10,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,河北敬业,河北省,二级焦,1850.00,出厂价,承兑;,11,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,唐山宝泰,河北省,准一级焦,1970.00,出厂价,承兑;华北、西北采购,12,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,河钢,河北省,一级焦,2110.00,出厂价,承兑;华北、西北采购,13,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,邯钢,河北省,一级焦,1980.00,出厂价,承兑;华北、西北采购,14,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
2024-07-19,承德建龙,河北省,准一级焦,2023.00,出厂价,承兑;华北、西北采购,15,2024-07-19 00:00:00,1,0,2024-07-20 22:15:20,0,2024-07-20 22:15:20,,,
