时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-29,SHEA,5812.00,432817.52,74.47,36,2024-05-29 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-28,SHEA,3053.00,228740.85,74.92,37,2024-05-28 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-27,SHEA,942.00,71215.40,75.60,38,2024-05-27 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-24,SHEA,5520.00,422025.20,76.45,39,2024-05-24 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-23,SHEA,2000.00,154000.00,77.00,40,2024-05-23 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-22,SHEA,2000.00,155000.00,77.50,41,2024-05-22 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-21,SHEA,46000.00,3512800.00,76.37,42,2024-05-21 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-20,SHEA,40200.00,3035600.00,75.51,43,2024-05-20 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-17,SHEA,40000.00,3032000.00,75.80,44,2024-05-17 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-16,SHEA,650.00,49584.00,76.28,45,2024-05-16 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-15,SHEA,40000.00,2998000.00,74.95,46,2024-05-15 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-14,SHEA,0.00,0.00,74.90,47,2024-05-14 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-13,SHEA,0.00,0.00,74.90,48,2024-05-13 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-10,SHEA,40000.00,2996000.00,74.90,49,2024-05-10 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-09,SHEA,40001.00,2995275.00,74.88,50,2024-05-09 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-08,SHEA,10.00,749.90,74.99,51,2024-05-08 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-07,SHEA,100.00,7490.00,74.90,52,2024-05-07 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-05-06,SHEA,40200.00,3006900.00,74.80,53,2024-05-06 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-30,SHEA,35.00,2625.00,75.00,54,2024-04-30 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-29,SHEA,47415.00,3555967.50,75.00,55,2024-04-29 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-26,SHEA,34100.00,2537050.00,74.40,56,2024-04-26 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-25,SHEA,42181.00,3124136.45,74.07,57,2024-04-25 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-24,SHEA,2171.00,161159.51,74.23,58,2024-04-24 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-23,SHEA,32136.00,2394132.00,74.50,59,2024-04-23 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-22,SHEA,32000.00,2368000.00,74.00,60,2024-04-22 00:00:00,1,0,2024-07-21 05:10:35,0,2024-07-21 05:10:35,,,
2024-04-19,SHEA,32000.00,2368000.00,74.00,61,2024-04-19 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-18,SHEA,33000.00,2435300.00,73.80,62,2024-04-18 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-17,SHEA,32676.00,2421880.00,74.12,63,2024-04-17 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-16,SHEA,32588.00,2408188.40,73.90,64,2024-04-16 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-15,SHEA,4500.00,330650.00,73.48,65,2024-04-15 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-12,SHEA,32000.00,2331200.00,72.85,66,2024-04-12 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-11,SHEA,31703.00,2328559.11,73.45,67,2024-04-11 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
