时间,铁水日均产量,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-08-08,235.26,-3.50,42,2024-08-08 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-08-01,238.76,-3.50,43,2024-08-01 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-07-25,242.26,-1.10,44,2024-07-25 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-07-18,243.38,-0.40,45,2024-07-18 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-07-11,243.76,-0.60,46,2024-07-11 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-07-04,244.40,-0.10,47,2024-07-04 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-06-27,244.50,0.60,48,2024-06-27 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-06-20,243.92,0.00,49,2024-06-20 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-06-13,243.88,1.80,50,2024-06-13 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-06-06,242.07,0.30,51,2024-06-06 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-05-30,241.73,0.40,52,2024-05-30 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-05-23,241.29,0.50,53,2024-05-23 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-05-16,240.84,1.90,54,2024-05-16 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-05-09,238.90,1.80,55,2024-05-09 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-05-02,237.06,1.70,56,2024-05-02 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-04-25,235.33,3.50,57,2024-04-25 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-04-18,231.79,3.40,58,2024-04-18 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-04-11,228.38,1.40,59,2024-04-11 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-04-04,226.95,1.80,60,2024-04-04 00:00:00,1,0,2025-06-06 23:21:50,0,2025-06-06 23:21:50,,,
2024-03-28,225.18,0.90,61,2024-03-28 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-03-21,224.31,1.10,62,2024-03-21 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-03-14,223.21,-1.30,63,2024-03-14 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-03-07,224.52,-0.40,64,2024-03-07 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-02-29,224.88,0.90,65,2024-02-29 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-02-22,224.03,-0.80,66,2024-02-22 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-02-15,224.84,0.80,67,2024-02-15 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-02-08,224.00,1.70,68,2024-02-08 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-02-01,222.34,0.40,69,2024-02-01 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-01-25,221.99,1.00,70,2024-01-25 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-01-18,220.98,0.90,71,2024-01-18 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-01-11,220.10,0.30,72,2024-01-11 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2024-01-04,219.79,-0.60,73,2024-01-04 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-12-28,220.42,-5.70,74,2023-12-28 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-12-21,226.13,0.10,75,2023-12-21 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-12-14,226.04,0.10,76,2023-12-14 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-12-07,225.98,-3.60,77,2023-12-07 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-11-30,229.53,-3.90,78,2023-11-30 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
