时间,航线名称,本期(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,秦皇岛-广州(5-6万DWT),33.90,33.90,0.00,0.0%,1,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-福州(3-4万DWT),30.50,30.50,0.00,0.0%,2,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-宁波(1.5-2万DWT),36.30,36.30,0.00,0.0%,3,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-上海(4-5万DWT),20.80,20.80,0.00,0.0%,4,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-张家港(2-3万DWT),25.90,25.90,0.00,0.0%,5,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-南京(3-4万DWT),28.30,28.30,0.00,0.0%,6,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,天津-上海(2-3万DWT),24.80,24.80,0.00,0.0%,7,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,天津-镇江(1-1.5万DWT),47.80,47.80,0.00,0.0%,8,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,黄骅-上海(3-4万DWT),21.90,21.80,0.10,0.5%,9,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,曹妃甸-宁波(4-5万DWT),21.60,21.60,0.00,0.0%,10,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-广州(6-7万DWT),29.30,29.10,0.20,0.7%,11,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-厦门(5-6万DWT),28.50,28.40,0.10,0.4%,12,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,秦皇岛-张家港(4-5万DWT),22.40,22.30,0.10,0.5%,13,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-19,天津-镇江(2-3万DWT),29.00,29.00,0.00,0.0%,14,2024-07-19 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-广州(5-6万DWT),33.90,33.90,0.00,0.0%,15,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-福州(3-4万DWT),30.50,30.50,0.00,0.0%,16,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-宁波(1.5-2万DWT),36.30,36.30,0.00,0.0%,17,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-上海(4-5万DWT),20.80,20.80,0.00,0.0%,18,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-张家港(2-3万DWT),25.90,26.00,-0.10,-0.4%,19,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-南京(3-4万DWT),28.30,28.30,0.00,0.0%,20,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,天津-上海(2-3万DWT),24.80,24.80,0.00,0.0%,21,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,天津-镇江(1-1.5万DWT),47.80,47.80,0.00,0.0%,22,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,黄骅-上海(3-4万DWT),21.80,21.80,0.00,0.0%,23,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,曹妃甸-宁波(4-5万DWT),21.60,21.60,0.00,0.0%,24,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-广州(6-7万DWT),29.10,29.30,-0.20,-0.7%,25,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-厦门(5-6万DWT),28.40,28.50,-0.10,-0.4%,26,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,秦皇岛-张家港(4-5万DWT),22.30,22.40,-0.10,-0.5%,27,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-18,天津-镇江(2-3万DWT),29.00,29.00,0.00,0.0%,28,2024-07-18 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-17,秦皇岛-广州(5-6万DWT),33.90,34.10,-0.20,-0.6%,29,2024-07-17 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-17,秦皇岛-福州(3-4万DWT),30.50,30.60,-0.10,-0.3%,30,2024-07-17 00:00:00,1,0,2024-07-20 06:32:14,0,2024-07-20 06:32:14,,,
2024-07-17,秦皇岛-宁波(1.5-2万DWT),36.30,36.50,-0.20,-0.6%,31,2024-07-17 00:00:00,1,0,2024-07-20 06:32:17,0,2024-07-20 06:32:17,,,
2024-07-17,秦皇岛-上海(4-5万DWT),20.80,20.90,-0.10,-0.5%,32,2024-07-17 00:00:00,1,0,2024-07-20 06:32:17,0,2024-07-20 06:32:17,,,
2024-07-17,秦皇岛-张家港(2-3万DWT),26.00,26.10,-0.10,-0.4%,33,2024-07-17 00:00:00,1,0,2024-07-20 06:32:17,0,2024-07-20 06:32:17,,,
2024-07-17,秦皇岛-南京(3-4万DWT),28.30,28.50,-0.20,-0.7%,34,2024-07-17 00:00:00,1,0,2024-07-20 06:32:17,0,2024-07-20 06:32:17,,,
2024-07-17,天津-上海(2-3万DWT),24.80,24.90,-0.10,-0.4%,35,2024-07-17 00:00:00,1,0,2024-07-20 06:32:17,0,2024-07-20 06:32:17,,,
