时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),21,2022-11-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),22,2022-10-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),23,2022-09-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),24,2022-08-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),25,2022-07-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),26,2022-06-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2453,车板价(不含税),27,2022-05-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2400 - 2500,车板价(不含税),28,2022-04-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),29,2022-03-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),30,2022-02-01 00:00:00,1,0,2024-07-17 09:14:30,0,2024-07-17 09:14:30,,,
2022-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),31,2022-01-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),32,2021-12-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),33,2021-11-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2100 - 2200,车板价(不含税),34,2021-10-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1570 - 1670,车板价(不含税),35,2021-09-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1570 - 1670,车板价(不含税),36,2021-08-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1570 - 1670,车板价(不含税),37,2021-07-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1470 - 1570,车板价(不含税),38,2021-06-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1470 - 1570,车板价(不含税),39,2021-05-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1450 - 1550,车板价(不含税),40,2021-04-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1430 - 1530,车板价(不含税),41,2021-03-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1450 - 1550,车板价(不含税),42,2021-02-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2021-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),43,2021-01-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),44,2020-12-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1370 - 1470,车板价(不含税),45,2020-11-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1350 - 1450,车板价(不含税),46,2020-10-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1350 - 1450,车板价(不含税),47,2020-09-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1350 - 1450,车板价(不含税),48,2020-08-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1350 - 1450,车板价(不含税),49,2020-07-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1350 - 1450,车板价(不含税),50,2020-06-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),51,2020-05-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),52,2020-04-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),53,2020-03-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),54,2020-02-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2020-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1400 - 1500,车板价(不含税),55,2020-01-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1550 - 1600,车板价(不含税),56,2019-12-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1550 - 1600,车板价(不含税),57,2019-11-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1590 - 1640,车板价(不含税),58,2019-10-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),59,2019-09-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),60,2019-08-01 00:00:00,1,0,2024-07-17 09:14:33,0,2024-07-17 09:14:33,,,
2019-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),61,2019-07-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),62,2019-06-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),63,2019-05-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),64,2019-04-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),65,2019-03-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1590 - 1620,车板价(不含税),66,2019-02-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2019-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1590 - 1620,车板价(不含税),67,2019-01-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),68,2018-12-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),69,2018-11-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1600 - 1650,车板价(不含税),70,2018-10-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1550 - 1580,车板价(不含税),71,2018-09-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1550 - 1580,车板价(不含税),72,2018-08-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1550 - 1580,车板价(不含税),73,2018-07-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1500 - 1550,车板价(不含税),74,2018-06-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),75,2018-05-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),76,2018-04-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
