时间,当月值(车),同期值(车),同比变化(车),同比增长(%),累计值(车),同期累计(车),累计变化(车),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,80452.00,75157.00,5295.00,7.05,76603.00,75960.00,643.00,0.85,1,2024-05-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2024-04,78272.00,74054.00,4218.00,5.70,74742.00,76160.00,-1418.00,-1.86,2,2024-04-30 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2024-03,76566.00,78168.00,-1602.00,2.00,74742.00,76862.00,-2120.00,-2.76,3,2024-03-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2024-02,68916.00,76675.00,-7759.00,-10.10,73799.00,76209.00,-2410.00,-3.16,4,2024-02-29 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2024-01,78367.00,75743.00,2624.00,3.50,78367.00,75743.00,2624.00,3.50,5,2024-01-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-12,77033.00,75849.00,1184.00,1.60,74522.00,74864.00,-342.00,-0.46,6,2023-12-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-11,76449.00,73468.00,2981.00,4.10,74289.00,74774.00,-485.00,-0.65,7,2023-11-30 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-10,74934.00,69219.00,5715.00,7.40,74076.00,74390.00,-314.00,-0.42,8,2023-10-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-09,71388.00,76312.00,-4924.00,-6.50,73978.00,74904.00,-926.00,-1.24,9,2023-09-30 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-08,69713.00,74425.00,-4712.00,-6.30,74298.00,74425.00,-127.00,-0.17,10,2023-08-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-07,72482.00,75661.00,-3179.00,-4.20,74968.00,74770.00,198.00,0.26,11,2023-07-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-06,72557.00,73717.00,-1160.00,-1.60,75393.00,74622.00,771.00,1.03,12,2023-06-30 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-05,75157.00,71522.00,3635.00,5.10,75960.00,74802.00,1158.00,1.55,13,2023-05-31 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
2023-04,74054.00,74642.00,-588.00,-0.80,76160.00,75621.00,539.00,0.71,14,2023-04-30 00:00:00,1,0,2024-07-20 13:49:27,0,2024-07-20 13:49:27,,,
