时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-11,欧洲三港,动力煤,,6000(NAR),102.00,1.95,CIF,1,2024-07-11 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-10,欧洲三港,动力煤,,6000(NAR),100.05,-1.00,CIF,2,2024-07-10 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-09,欧洲三港,动力煤,,6000(NAR),101.05,-1.00,CIF,3,2024-07-09 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-08,欧洲三港,动力煤,,6000(NAR),102.05,-3.00,CIF,4,2024-07-08 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-05,欧洲三港,动力煤,,6000(NAR),105.05,1.05,CIF,5,2024-07-05 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-04,欧洲三港,动力煤,,6000(NAR),104.00,0.05,CIF,6,2024-07-04 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-03,欧洲三港,动力煤,,6000(NAR),103.95,0.00,CIF,7,2024-07-03 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-02,欧洲三港,动力煤,,6000(NAR),103.95,-3.00,CIF,8,2024-07-02 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-07-01,欧洲三港,动力煤,,6000(NAR),106.95,-2.00,CIF,9,2024-07-01 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-28,欧洲三港,动力煤,,6000(NAR),108.95,3.00,CIF,10,2024-06-28 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-27,欧洲三港,动力煤,,6000(NAR),105.95,-1.55,CIF,11,2024-06-27 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-26,欧洲三港,动力煤,,6000(NAR),107.50,-0.55,CIF,12,2024-06-26 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-25,欧洲三港,动力煤,,6000(NAR),108.05,0.50,CIF,13,2024-06-25 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-24,欧洲三港,动力煤,,6000(NAR),107.55,0.05,CIF,14,2024-06-24 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-21,欧洲三港,动力煤,,6000(NAR),107.50,-2.00,CIF,15,2024-06-21 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-20,欧洲三港,动力煤,,6000(NAR),109.50,0.00,CIF,16,2024-06-20 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-19,欧洲三港,动力煤,,6000(NAR),109.50,-1.50,CIF,17,2024-06-19 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-18,欧洲三港,动力煤,,6000(NAR),111.00,0.50,CIF,18,2024-06-18 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-17,欧洲三港,动力煤,,6000(NAR),110.50,0.95,CIF,19,2024-06-17 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-14,欧洲三港,动力煤,,6000(NAR),109.55,-2.00,CIF,20,2024-06-14 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-13,欧洲三港,动力煤,,6000(NAR),111.55,3.00,CIF,21,2024-06-13 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-12,欧洲三港,动力煤,,6000(NAR),108.55,0.50,CIF,22,2024-06-12 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-11,欧洲三港,动力煤,,6000(NAR),108.05,2.00,CIF,23,2024-06-11 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-10,欧洲三港,动力煤,,6000(NAR),106.05,0.50,CIF,24,2024-06-10 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-07,欧洲三港,动力煤,,6000(NAR),105.55,-2.45,CIF,25,2024-06-07 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-06,欧洲三港,动力煤,,6000(NAR),108.00,-4.95,CIF,26,2024-06-06 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-05,欧洲三港,动力煤,,6000(NAR),112.95,-3.40,CIF,27,2024-06-05 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-04,欧洲三港,动力煤,,6000(NAR),116.35,-0.65,CIF,28,2024-06-04 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-06-03,欧洲三港,动力煤,,6000(NAR),117.00,3.00,CIF,29,2024-06-03 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-05-31,欧洲三港,动力煤,,6000(NAR),114.00,0.95,CIF,30,2024-05-31 00:00:00,1,0,2024-07-17 13:16:17,0,2024-07-17 13:16:17,,,
2024-05-30,欧洲三港,动力煤,,6000(NAR),113.05,3.00,CIF,31,2024-05-30 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-29,欧洲三港,动力煤,,6000(NAR),110.05,1.00,CIF,32,2024-05-29 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-28,欧洲三港,动力煤,,6000(NAR),109.05,2.00,CIF,33,2024-05-28 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-27,欧洲三港,动力煤,,6000(NAR),107.05,0.00,CIF,34,2024-05-27 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-24,欧洲三港,动力煤,,6000(NAR),107.05,8.10,CIF,35,2024-05-24 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-23,欧洲三港,动力煤,,6000(NAR),98.95,-2.00,CIF,36,2024-05-23 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-22,欧洲三港,动力煤,,6000(NAR),100.95,-1.00,CIF,37,2024-05-22 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-21,欧洲三港,动力煤,,6000(NAR),101.95,0.50,CIF,38,2024-05-21 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-20,欧洲三港,动力煤,,6000(NAR),101.45,-3.50,CIF,39,2024-05-20 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-17,欧洲三港,动力煤,,6000(NAR),104.95,0.95,CIF,40,2024-05-17 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-16,欧洲三港,动力煤,,6000(NAR),104.00,-1.00,CIF,41,2024-05-16 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-15,欧洲三港,动力煤,,6000(NAR),105.00,-1.25,CIF,42,2024-05-15 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
2024-05-14,欧洲三港,动力煤,,6000(NAR),106.25,-2.75,CIF,43,2024-05-14 00:00:00,1,0,2024-07-17 13:16:21,0,2024-07-17 13:16:21,,,
