时间,项目名称,期末值(亿元),同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-06,流通中现金(M0)供应量,105419.20,9.80,39,2023-06-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-05,流通中现金(M0)供应量,104800.00,9.60,40,2023-05-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-05,货币和准货币(M2)供应量,2820500.00,11.60,41,2023-05-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-05,货币(M1)供应量,675300.00,4.70,42,2023-05-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-04,货币(M1)供应量,669761.55,5.30,43,2023-04-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-04,流通中现金(M0)供应量,105904.46,10.70,44,2023-04-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-04,货币和准货币(M2)供应量,2808469.34,12.40,45,2023-04-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-03,货币(M1)供应量,678059.63,5.10,46,2023-03-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-03,流通中现金(M0)供应量,105591.30,11.00,47,2023-03-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-03,货币和准货币(M2)供应量,2814566.31,12.70,48,2023-03-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-02,货币(M1)供应量,657938.74,5.80,49,2023-02-28 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-02,货币和准货币(M2)供应量,2755249.23,12.90,50,2023-02-28 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-02,流通中现金(M0)供应量,107602.58,10.60,51,2023-02-28 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-01,流通中现金(M0)供应量,114601.30,7.90,52,2023-01-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-01,货币和准货币(M2)供应量,2738072.06,12.60,53,2023-01-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2023-01,货币(M1)供应量,655214.16,6.70,54,2023-01-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-12,货币(M1)供应量,671700.00,3.70,55,2022-12-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-12,货币和准货币(M2)供应量,2664300.00,11.80,56,2022-12-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-12,流通中现金(M0)供应量,104700.00,15.30,57,2022-12-31 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-11,货币和准货币(M2)供应量,2647008.48,12.40,58,2022-11-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-11,流通中现金(M0)供应量,99740.12,14.10,59,2022-11-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-11,货币(M1)供应量,667042.61,4.60,60,2022-11-30 00:00:00,1,0,2024-07-21 05:01:28,0,2024-07-21 05:01:28,,,
2022-10,货币和准货币(M2)供应量,2612914.57,11.80,61,2022-10-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-10,货币(M1)供应量,662140.99,5.80,62,2022-10-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-10,流通中现金(M0)供应量,98416.71,14.30,63,2022-10-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-09,流通中现金(M0)供应量,98672.06,13.60,64,2022-09-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-09,货币(M1)供应量,664535.17,6.40,65,2022-09-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-09,货币和准货币(M2)供应量,2626600.92,12.10,66,2022-09-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-08,流通中现金(M0)供应量,97231.03,14.30,67,2022-08-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-08,货币和准货币(M2)供应量,2595068.27,12.20,68,2022-08-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-08,货币(M1)供应量,664604.85,6.10,69,2022-08-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-07,货币和准货币(M2)供应量,2578078.57,12.00,70,2022-07-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-07,流通中现金(M0)供应量,96509.19,13.90,71,2022-07-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-07,货币(M1)供应量,661832.33,6.70,72,2022-07-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-06,货币和准货币(M2)供应量,2581451.20,11.40,73,2022-06-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-06,货币(M1)供应量,674374.81,5.80,74,2022-06-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
