时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,地区合计,1536.60,193.60,-458.00,1,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,河北省,69.40,21.60,-6.60,2,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,山西省,534.50,116.20,-97.90,3,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,江西省,1.50,-0.40,-1.00,4,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,山东省,146.00,46.20,-45.70,5,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,河南省,83.50,-3.20,-34.20,6,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,重庆市,0.00,0.00,0.00,7,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,陕西省,65.00,7.00,0.00,8,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,甘肃省,265.20,21.80,19.20,9,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-20,宁夏区,345.40,-12.90,-72.00,10,2024-06-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,地区合计,1434.80,125.10,-507.40,11,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,河北省,60.00,14.20,-18.10,12,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,山西省,493.20,103.90,-131.80,13,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,江西省,1.50,-0.40,-0.70,14,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,山东省,123.80,27.80,-83.10,15,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,河南省,80.00,-9.20,-31.20,16,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,重庆市,0.00,0.00,0.00,17,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,陕西省,57.00,-21.00,-5.00,18,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,甘肃省,253.90,5.10,28.10,19,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-06-10,宁夏区,339.00,13.20,-49.10,20,2024-06-10 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-05-20,地区合计,1343.00,-41.00,-460.20,21,2024-05-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
2024-05-20,河北省,47.80,-5.30,-29.60,22,2024-05-20 00:00:00,1,0,2024-07-20 13:50:14,0,2024-07-20 13:50:14,,,
