时间,项目名称,累计值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,合计,2578.00,1,2024-05-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-05,火电,368.60,2,2024-05-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-05,水电,282.90,3,2024-05-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-05,核电,339.90,4,2024-05-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-04,火电,271.50,5,2024-04-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-04,合计,1912.00,6,2024-04-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-04,核电,265.30,7,2024-04-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-04,水电,216.30,8,2024-04-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-03,核电,199.90,9,2024-03-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-03,火电,192.20,10,2024-03-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-03,合计,1365.00,11,2024-03-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-03,水电,164.00,12,2024-03-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-02,核电,121.70,13,2024-02-29 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-02,水电,116.30,14,2024-02-29 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-02,火电,105.70,15,2024-02-29 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2024-02,合计,761.00,16,2024-02-29 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-12,合计,9675.00,17,2023-12-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-12,核电,949.00,18,2023-12-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-12,水电,991.00,19,2023-12-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-12,火电,1029.00,20,2023-12-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-11,合计,7713.00,21,2023-11-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-11,水电,712.00,22,2023-11-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-11,火电,835.00,23,2023-11-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-11,核电,774.00,24,2023-11-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-10,核电,670.00,25,2023-10-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-10,合计,6621.00,26,2023-10-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-10,火电,730.00,27,2023-10-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-10,水电,663.00,28,2023-10-31 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-09,火电,635.00,29,2023-09-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-09,水电,586.00,30,2023-09-30 00:00:00,1,0,2024-07-20 16:08:44,0,2024-07-20 16:08:44,,,
2023-09,水电,586.00,31,2023-09-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-09,火电,635.00,32,2023-09-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-08,火电,546.00,33,2023-08-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-08,水电,516.00,34,2023-08-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-08,核电,522.00,35,2023-08-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-08,合计,4703.00,36,2023-08-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-07,火电,474.00,37,2023-07-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-07,水电,452.00,38,2023-07-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-07,合计,4013.00,39,2023-07-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-07,核电,439.00,40,2023-07-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-06,水电,392.00,41,2023-06-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-06,火电,392.00,42,2023-06-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-06,合计,3319.00,43,2023-06-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-06,核电,359.00,44,2023-06-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-05,合计,2389.00,45,2023-05-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-05,火电,258.30,46,2023-05-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-05,核电,268.90,47,2023-05-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-05,水电,282.80,48,2023-05-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-04,合计,1802.00,49,2023-04-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-04,火电,188.00,50,2023-04-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-04,水电,217.00,51,2023-04-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-04,核电,212.00,52,2023-04-30 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-03,核电,161.00,53,2023-03-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-03,合计,1264.00,54,2023-03-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-03,火电,126.00,55,2023-03-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-03,水电,168.00,56,2023-03-31 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-02,核电,87.00,57,2023-02-28 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-02,合计,676.00,58,2023-02-28 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-02,火电,65.00,59,2023-02-28 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2023-02,水电,98.00,60,2023-02-28 00:00:00,1,0,2024-07-20 16:08:48,0,2024-07-20 16:08:48,,,
2022-12,火电,909.00,61,2022-12-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-12,合计,7208.00,62,2022-12-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-12,水电,863.00,63,2022-12-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-12,核电,671.00,64,2022-12-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-11,火电,736.00,65,2022-11-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-11,水电,718.00,66,2022-11-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-11,合计,5525.00,67,2022-11-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-11,核电,533.00,68,2022-11-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-10,合计,4607.00,69,2022-10-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-10,核电,474.00,70,2022-10-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-10,水电,618.00,71,2022-10-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-10,火电,640.00,72,2022-10-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-09,水电,534.00,73,2022-09-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-09,合计,3926.00,74,2022-09-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-09,火电,547.00,75,2022-09-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-09,核电,404.00,76,2022-09-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-08,水电,474.00,77,2022-08-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-08,核电,333.00,78,2022-08-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-08,火电,480.00,79,2022-08-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-08,合计,3209.00,80,2022-08-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-07,水电,416.00,81,2022-07-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-07,核电,291.00,82,2022-07-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-07,火电,405.00,83,2022-07-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-07,合计,2600.00,84,2022-07-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-06,核电,230.00,85,2022-06-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-06,合计,2158.00,86,2022-06-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-06,水电,354.00,87,2022-06-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-06,火电,347.00,88,2022-06-30 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-05,水电,267.00,89,2022-05-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-05,合计,1470.00,90,2022-05-31 00:00:00,1,0,2024-07-20 16:08:51,0,2024-07-20 16:08:51,,,
2022-05,核电,161.00,91,2022-05-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-05,合计,1470.00,92,2022-05-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-04,核电,139.00,93,2022-04-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-04,火电,179.00,94,2022-04-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-04,合计,1173.00,95,2022-04-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-04,水电,222.00,96,2022-04-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-03,核电,105.00,97,2022-03-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-03,火电,122.00,98,2022-03-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-03,水电,182.00,99,2022-03-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-03,合计,814.00,100,2022-03-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
