时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,地区合计,2829.90,114.90,-184.30,1,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,河北省,95.70,12.70,-1.60,2,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,山西省,1401.70,65.00,-151.50,3,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,江西省,2.70,-0.50,1.20,4,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,山东省,97.10,-1.80,5.90,5,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,河南省,214.80,-5.10,9.40,6,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,重庆市,0.00,0.00,0.00,7,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,陕西省,869.00,27.00,-15.00,8,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,甘肃省,74.90,23.70,-7.50,9,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-20,宁夏区,2.00,-0.10,-14.30,10,2024-06-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,地区合计,1387.70,-14.90,-186.70,11,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,河北省,47.90,4.70,-0.70,12,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,山西省,701.90,-1.70,-58.60,13,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,江西省,1.10,-0.60,0.20,14,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,山东省,50.90,0.50,2.00,15,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,河南省,113.20,-1.20,5.30,16,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,重庆市,0.00,0.00,0.00,17,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,陕西省,396.40,-27.40,-120.60,18,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,甘肃省,37.90,13.00,-4.80,19,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-06-10,宁夏区,0.90,0.50,-8.70,20,2024-06-10 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,地区合计,2715.00,-7.90,-164.00,21,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,河北省,83.00,-14.20,-9.10,22,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,山西省,1336.70,-3.10,-122.20,23,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,江西省,3.20,0.70,1.70,24,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,山东省,98.90,-3.30,8.00,25,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,河南省,219.90,1.70,3.90,26,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,重庆市,0.00,0.00,0.00,27,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,陕西省,842.00,35.30,-12.40,28,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,甘肃省,51.20,-25.80,-25.40,29,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-20,宁夏区,2.10,-7.30,-12.70,30,2024-05-20 00:00:00,1,0,2024-07-20 13:35:51,0,2024-07-20 13:35:51,,,
2024-05-10,地区合计,1402.60,-8.20,-92.50,31,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,河北省,43.20,-3.90,-5.90,32,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,山西省,703.60,13.50,-18.40,33,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,江西省,1.70,0.20,0.30,34,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,山东省,50.40,-0.90,5.40,35,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,河南省,114.40,0.80,-0.80,36,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,重庆市,0.00,0.00,0.00,37,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,陕西省,423.80,-9.80,-53.20,38,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,甘肃省,24.90,-13.60,-13.30,39,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-05-10,宁夏区,0.40,-1.30,-7.70,40,2024-05-10 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,地区合计,2722.90,56.60,-253.90,41,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,河北省,97.20,-2.80,-3.90,42,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,山西省,1339.80,-17.40,-135.50,43,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,江西省,2.50,0.90,-0.90,44,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,山东省,102.20,2.50,10.00,45,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,河南省,218.20,-31.50,-17.50,46,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,重庆市,0.00,0.00,0.00,47,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,陕西省,806.70,81.60,-79.30,48,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,甘肃省,77.00,20.90,-10.50,49,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
2024-04-20,宁夏区,9.40,-2.20,-6.00,50,2024-04-20 00:00:00,1,0,2024-07-20 13:35:55,0,2024-07-20 13:35:55,,,
