时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),一期库存(万吨),二期库存(万吨),三期库存(万吨),港口卸车(车),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,130.40,53.00,50.00,41.00,50.30,44.30,35.80,6824.00,1,2024-07-19 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-18,134.30,51.00,46.00,43.00,51.60,46.90,35.80,6595.00,2,2024-07-18 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-17,134.40,45.00,49.00,41.00,47.50,53.10,33.90,5825.00,3,2024-07-17 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-16,125.70,48.00,61.00,42.00,47.50,54.70,23.50,6222.00,4,2024-07-16 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-15,137.40,48.00,47.00,42.00,48.90,56.40,32.10,6182.00,5,2024-07-15 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-14,142.90,48.00,50.00,49.00,55.90,62.10,24.80,6163.00,6,2024-07-14 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-13,156.50,39.00,62.00,46.00,58.00,70.50,27.90,5084.00,7,2024-07-13 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-12,169.10,53.00,58.00,41.00,61.70,74.30,33.00,6861.00,8,2024-07-12 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-11,180.40,48.00,62.00,51.00,62.70,78.20,39.50,6252.00,9,2024-07-11 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-10,192.50,43.00,54.00,49.00,65.20,81.40,45.90,5636.00,10,2024-07-10 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-09,198.30,60.00,52.00,42.00,67.30,74.90,56.10,7776.00,11,2024-07-09 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-08,195.60,60.00,62.00,28.00,68.90,72.10,54.60,7727.00,12,2024-07-08 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-07,188.00,54.00,50.00,28.00,71.30,64.40,52.20,7066.00,13,2024-07-07 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-06,196.50,33.00,61.00,24.00,73.90,68.40,54.20,4176.00,14,2024-07-06 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-05,216.90,66.00,62.00,23.00,80.50,75.10,61.20,8552.00,15,2024-07-05 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-04,215.10,58.00,40.00,13.00,79.70,67.00,68.40,7667.00,16,2024-07-04 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-03,202.30,45.00,59.00,13.00,81.30,71.70,49.30,6030.00,17,2024-07-03 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-02,190.50,63.00,54.00,17.00,69.80,62.60,58.10,8170.00,18,2024-07-02 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-07-01,201.60,63.00,56.00,15.00,71.70,71.80,58.20,8253.00,19,2024-07-01 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-30,212.00,61.00,57.00,14.00,77.70,73.50,60.90,8111.00,20,2024-06-30 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-29,197.00,59.00,58.00,20.00,71.90,72.40,52.60,7680.00,21,2024-06-29 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-28,189.70,68.00,59.00,32.00,72.60,65.70,51.40,8864.00,22,2024-06-28 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-27,183.50,64.00,60.00,27.00,67.10,64.40,52.00,8364.00,23,2024-06-27 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-26,180.40,60.00,59.00,34.00,68.90,61.20,50.40,7786.00,24,2024-06-26 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-25,178.60,66.00,64.00,33.00,72.20,58.80,47.60,8591.00,25,2024-06-25 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-24,179.90,56.00,55.00,34.00,72.60,57.70,49.50,7230.00,26,2024-06-24 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-23,174.20,63.00,60.00,34.00,66.90,57.80,49.60,8182.00,27,2024-06-23 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-22,164.60,55.00,62.00,41.00,60.00,54.70,49.80,7048.00,28,2024-06-22 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-21,169.00,59.00,60.00,33.00,52.10,57.70,59.20,7584.00,29,2024-06-21 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-20,187.50,62.00,60.00,32.00,64.10,62.20,61.20,8051.00,30,2024-06-20 00:00:00,1,0,2024-07-20 10:48:57,0,2024-07-20 10:48:57,,,
2024-06-19,177.00,55.00,59.00,26.00,65.00,62.10,49.90,7191.00,31,2024-06-19 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-18,174.10,66.00,64.00,29.00,57.30,63.40,53.30,8559.00,32,2024-06-18 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-17,172.30,65.00,63.00,31.00,54.20,63.30,54.70,8550.00,33,2024-06-17 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-16,175.20,62.00,56.00,36.00,54.50,65.20,55.50,8051.00,34,2024-06-16 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-15,181.90,51.00,60.00,35.00,55.90,67.00,58.90,6664.00,35,2024-06-15 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-14,192.70,67.00,63.00,31.00,63.90,68.60,60.20,8889.00,36,2024-06-14 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-13,183.50,60.00,63.00,36.00,54.30,68.60,60.60,7808.00,37,2024-06-13 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-12,184.10,54.00,60.00,27.00,58.30,69.90,55.80,7082.00,38,2024-06-12 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-11,186.40,65.00,67.00,20.00,50.30,72.80,63.40,8535.00,39,2024-06-11 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-10,177.30,71.00,63.00,21.00,48.80,70.60,57.90,9328.00,40,2024-06-10 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-09,177.30,66.00,55.00,19.00,52.90,66.10,58.20,8602.00,41,2024-06-09 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-08,171.60,53.00,62.00,18.00,55.50,67.80,48.30,6989.00,42,2024-06-08 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-07,182.90,69.00,62.00,17.00,63.50,73.50,45.90,9061.00,43,2024-06-07 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-06,185.70,65.00,61.00,17.00,62.60,74.00,49.00,8606.00,44,2024-06-06 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-05,179.00,59.00,61.00,16.00,61.10,77.20,40.70,7805.00,45,2024-06-05 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-04,176.30,69.00,62.00,12.00,60.30,78.50,37.40,9032.00,46,2024-06-04 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-03,172.50,68.00,68.00,14.00,61.10,78.30,33.00,8872.00,47,2024-06-03 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-02,178.50,67.00,57.50,26.00,59.10,75.60,43.80,8781.00,48,2024-06-02 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-06-01,178.70,64.70,74.80,32.00,58.40,74.10,46.20,8500.00,49,2024-06-01 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-05-31,180.50,60.00,63.00,36.00,58.40,70.40,51.70,7933.00,50,2024-05-31 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-05-30,177.60,62.00,72.00,38.00,58.00,71.00,48.60,8245.00,51,2024-05-30 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-05-29,173.70,67.00,66.00,50.00,57.90,69.90,45.90,8826.00,52,2024-05-29 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-05-28,172.60,67.00,65.00,66.00,56.20,68.20,48.20,8819.00,53,2024-05-28 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
2024-05-27,173.00,63.00,61.00,67.00,58.80,65.40,48.80,8282.00,54,2024-05-27 00:00:00,1,0,2024-07-20 10:49:00,0,2024-07-20 10:49:00,,,
