时间,项目名称,当期值(亿美元),同比增长(%),累计值(亿美元),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,进出口总值,5166.60,3.90,29801.40,2.90,1,2024-06-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-06,出口总值,3078.50,8.60,17075.70,3.60,2,2024-06-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-06,进口总值,2088.10,-2.30,12725.80,2.00,3,2024-06-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-06,进出口差额,990.50,,4349.90,,4,2024-06-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-05,进出口总值,5220.70,5.10,24643.20,2.80,5,2024-05-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-05,出口总值,3023.50,7.60,14007.60,2.70,6,2024-05-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-05,进口总值,2197.30,1.80,10635.60,2.90,7,2024-05-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-05,进出口差额,826.20,,3372.10,,8,2024-05-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-04,进出口总值,5125.60,4.40,19434.80,2.20,9,2024-04-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-04,出口总值,2924.50,1.50,10995.70,1.50,10,2024-04-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-04,进口总值,2201.00,8.40,8439.10,3.20,11,2024-04-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-04,进出口差额,723.50,,2556.60,,12,2024-04-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-03,进出口总值,5008.10,-5.10,14313.40,1.50,13,2024-03-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-03,出口总值,2796.80,-7.50,8075.00,1.50,14,2024-03-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-03,进口总值,2211.30,-1.90,6238.40,1.50,15,2024-03-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-03,进出口差额,585.50,,1836.60,,16,2024-03-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-02,进出口总值,0.00,0.00,9308.60,5.50,17,2024-02-29 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-02,出口总值,0.00,0.00,5280.10,7.10,18,2024-02-29 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-02,进口总值,0.00,0.00,4028.50,3.50,19,2024-02-29 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2024-02,进出口差额,0.00,,1251.60,,20,2024-02-29 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-12,进出口总值,5319.00,1.40,59368.30,-5.00,21,2023-12-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-12,出口总值,3036.20,2.30,33800.20,-4.60,22,2023-12-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-12,进口总值,2282.80,0.20,25568.00,-5.50,23,2023-12-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-12,进出口差额,753.40,,8232.20,,24,2023-12-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-11,进出口总值,5154.70,0.00,54066.40,-5.60,25,2023-11-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-11,出口总值,2919.30,0.50,30773.80,-5.20,26,2023-11-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-11,进口总值,2235.40,-0.60,23292.60,-6.00,27,2023-11-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-11,进出口差额,684.00,,7481.30,,28,2023-11-30 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
2023-10,进出口总值,4931.30,-2.50,48999.60,-6.00,29,2023-10-31 00:00:00,1,0,2024-07-21 05:03:52,0,2024-07-21 05:03:52,,,
