时间,当期值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023.00,509708.00,1,2023-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2022.00,579556.00,2,2022-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2021.00,552884.00,3,2021-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2020.00,527270.00,4,2020-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2019.00,560874.30,5,2019-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2018.00,645675.00,6,2018-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
2017.00,631684.00,7,2017-12-31 00:00:00,1,0,2024-07-21 04:59:51,0,2024-07-21 04:59:51,,,
