时间,钦州港(万吨),防城港(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,243.00,380.00,1,2024-07-18 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-07-11,247.00,368.00,2,2024-07-11 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-07-04,241.00,352.00,3,2024-07-04 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-06-27,240.00,346.00,4,2024-06-27 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-06-20,201.00,337.00,5,2024-06-20 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-06-13,175.00,313.00,6,2024-06-13 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-06-06,158.00,312.00,7,2024-06-06 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-05-30,135.00,344.00,8,2024-05-30 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-05-23,117.00,276.00,9,2024-05-23 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-05-16,119.00,273.00,10,2024-05-16 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-05-09,103.00,259.00,11,2024-05-09 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-04-25,84.00,295.00,12,2024-04-25 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-04-18,88.00,323.00,13,2024-04-18 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-04-11,90.00,322.00,14,2024-04-11 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-04-04,79.00,317.00,15,2024-04-04 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-03-28,63.00,322.00,16,2024-03-28 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-03-21,65.00,339.00,17,2024-03-21 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-03-14,68.00,359.00,18,2024-03-14 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-03-07,65.00,357.00,19,2024-03-07 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-02-29,67.00,359.00,20,2024-02-29 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-02-22,53.00,505.00,21,2024-02-22 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-02-08,47.00,350.00,22,2024-02-08 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-02-01,49.00,356.00,23,2024-02-01 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-01-25,48.00,364.00,24,2024-01-25 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-01-18,59.00,378.00,25,2024-01-18 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-01-11,83.00,389.00,26,2024-01-11 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2024-01-04,85.00,371.00,27,2024-01-04 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2023-12-28,82.00,371.00,28,2023-12-28 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2023-12-21,74.00,376.00,29,2023-12-21 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2023-12-14,77.00,388.00,30,2023-12-14 00:00:00,1,0,2024-07-20 11:25:15,0,2024-07-20 11:25:15,,,
2023-12-07,77.00,396.00,31,2023-12-07 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-11-30,97.00,387.00,32,2023-11-30 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-11-23,92.00,375.00,33,2023-11-23 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-11-16,87.00,374.00,34,2023-11-16 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-11-09,73.00,396.00,35,2023-11-09 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-11-02,75.00,406.00,36,2023-11-02 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-10-27,79.00,419.00,37,2023-10-27 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-10-19,73.00,437.00,38,2023-10-19 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-10-12,75.00,445.00,39,2023-10-12 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-09-21,80.00,455.00,40,2023-09-21 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-09-14,75.00,448.00,41,2023-09-14 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-09-07,75.00,447.00,42,2023-09-07 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-08-31,77.00,446.00,43,2023-08-31 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-08-24,100.00,443.00,44,2023-08-24 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-08-17,116.00,466.00,45,2023-08-17 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-08-10,121.00,436.00,46,2023-08-10 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-08-03,86.00,423.00,47,2023-08-03 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-07-27,91.00,437.00,48,2023-07-27 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-07-20,86.00,420.00,49,2023-07-20 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-07-13,78.00,406.00,50,2023-07-13 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-07-06,95.00,381.00,51,2023-07-06 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-06-29,87.00,369.00,52,2023-06-29 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-06-22,92.00,364.00,53,2023-06-22 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-06-15,86.00,352.00,54,2023-06-15 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-06-08,89.00,343.00,55,2023-06-08 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-06-01,96.00,326.00,56,2023-06-01 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-05-25,86.00,318.00,57,2023-05-25 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-05-18,89.00,299.00,58,2023-05-18 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-05-11,94.00,282.00,59,2023-05-11 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-05-04,91.00,265.00,60,2023-05-04 00:00:00,1,0,2024-07-20 11:25:17,0,2024-07-20 11:25:17,,,
2023-04-27,86.00,243.00,61,2023-04-27 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-04-20,90.00,218.00,62,2023-04-20 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-04-13,85.00,217.00,63,2023-04-13 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-04-06,126.00,226.00,64,2023-04-06 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-03-30,117.00,202.00,65,2023-03-30 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-03-23,119.00,191.00,66,2023-03-23 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-03-16,109.00,203.00,67,2023-03-16 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-03-09,91.00,184.00,68,2023-03-09 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-03-02,95.00,155.00,69,2023-03-02 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-02-23,118.00,164.00,70,2023-02-23 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-02-16,155.00,172.00,71,2023-02-16 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-02-09,140.00,185.00,72,2023-02-09 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-02-02,80.00,137.00,73,2023-02-02 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-01-19,73.00,122.00,74,2023-01-19 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-01-12,76.00,123.00,75,2023-01-12 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2023-01-05,94.00,128.00,76,2023-01-05 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-12-29,73.00,118.00,77,2022-12-29 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-12-22,80.00,143.00,78,2022-12-22 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-12-15,82.00,138.00,79,2022-12-15 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-12-08,75.00,143.00,80,2022-12-08 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-12-01,83.00,165.00,81,2022-12-01 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-11-24,69.00,160.00,82,2022-11-24 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-11-17,65.00,165.00,83,2022-11-17 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-11-10,58.00,154.00,84,2022-11-10 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-11-03,60.00,156.00,85,2022-11-03 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-10-27,82.00,147.00,86,2022-10-27 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-10-20,83.00,151.00,87,2022-10-20 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-10-13,90.00,157.00,88,2022-10-13 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-09-29,101.00,172.00,89,2022-09-29 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-09-22,108.00,168.00,90,2022-09-22 00:00:00,1,0,2024-07-20 11:25:20,0,2024-07-20 11:25:20,,,
2022-09-15,112.00,173.00,91,2022-09-15 00:00:00,1,0,2024-07-20 11:25:24,0,2024-07-20 11:25:24,,,
2022-09-08,92.00,179.00,92,2022-09-08 00:00:00,1,0,2024-07-20 11:25:24,0,2024-07-20 11:25:24,,,
2022-09-01,60.00,182.00,93,2022-09-01 00:00:00,1,0,2024-07-20 11:25:24,0,2024-07-20 11:25:24,,,
2022-08-25,62.00,184.00,94,2022-08-25 00:00:00,1,0,2024-07-20 11:25:24,0,2024-07-20 11:25:24,,,
