时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-10,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,31,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,5500K,710 - 720,710 - 720,0.00,0.00,32,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,33,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,黄骅港,4500K,575 - 585,575 - 585,0.00,0.00,34,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5800K,750 - 760,750 - 760,0.00,0.00,35,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5500K,710 - 720,710 - 720,0.00,0.00,36,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,5000K,640 - 650,640 - 650,0.00,0.00,37,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,天津港,4500K,575 - 585,575 - 585,0.00,0.00,38,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,39,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,曹妃甸港,5500K,710 - 720,710 - 720,0.00,0.00,40,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,曹妃甸港,5000K,640 - 650,640 - 650,0.00,0.00,41,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,曹妃甸港,4500K,575 - 585,575 - 585,0.00,0.00,42,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,43,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,国投京唐港,5500K,710 - 720,710 - 720,0.00,0.00,44,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,45,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,国投京唐港,4500K,575 - 585,575 - 585,0.00,0.00,46,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,47,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,京唐港,5500K,710 - 720,710 - 720,0.00,0.00,48,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,49,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-10,京唐港,4500K,575 - 585,575 - 585,0.00,0.00,50,2024-07-10 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,环渤海,5500K,715,717,-2.00,-0.28,51,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,52,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,秦皇岛港,5500K,710 - 720,710 - 720,0.00,0.00,53,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,秦皇岛港,5000K,640 - 650,645 - 655,-5.00,-0.78,54,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,秦皇岛港,4500K,575 - 585,580 - 590,-5.00,-0.86,55,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,56,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,黄骅港,5500K,710 - 720,710 - 720,0.00,0.00,57,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,58,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,黄骅港,4500K,575 - 585,580 - 590,-5.00,-0.86,59,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,天津港,5800K,750 - 760,750 - 760,0.00,0.00,60,2024-07-03 00:00:00,1,0,2024-07-20 05:48:49,0,2024-07-20 05:48:49,,,
2024-07-03,天津港,5500K,710 - 720,710 - 720,0.00,0.00,61,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,天津港,5000K,640 - 650,645 - 655,-5.00,-0.78,62,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,天津港,4500K,575 - 585,575 - 585,0.00,0.00,63,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,64,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,曹妃甸港,5500K,710 - 720,710 - 720,0.00,0.00,65,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,曹妃甸港,5000K,640 - 650,645 - 655,-5.00,-0.78,66,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,曹妃甸港,4500K,575 - 585,575 - 585,0.00,0.00,67,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,68,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
