时间,高炉产能利用率,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-09-26,86.12,0.40,35,2024-09-26 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-09-19,85.73,0.70,36,2024-09-19 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-09-12,84.99,0.60,37,2024-09-12 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-09-05,84.40,0.60,38,2024-09-05 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-08-29,83.82,-0.90,39,2024-08-29 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-08-22,84.73,-2.50,40,2024-08-22 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-08-15,87.18,-0.90,41,2024-08-15 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-08-08,88.07,-1.30,42,2024-08-08 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-08-01,89.38,-1.30,43,2024-08-01 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-07-25,90.69,-0.40,44,2024-07-25 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-07-18,91.11,-0.10,45,2024-07-18 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-07-11,91.25,-0.20,46,2024-07-11 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-07-04,91.49,0.00,47,2024-07-04 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-06-27,91.53,0.20,48,2024-06-27 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-06-20,91.31,0.00,49,2024-06-20 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-06-13,91.30,0.70,50,2024-06-13 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-06-06,90.62,0.10,51,2024-06-06 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-05-30,90.49,0.20,52,2024-05-30 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-05-23,90.33,0.20,53,2024-05-23 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-05-16,90.16,0.70,54,2024-05-16 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-05-09,89.43,0.70,55,2024-05-09 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-05-02,88.74,0.60,56,2024-05-02 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-04-25,88.10,1.30,57,2024-04-25 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-04-18,86.77,1.30,58,2024-04-18 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-04-11,85.50,0.50,59,2024-04-11 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-04-04,84.96,0.70,60,2024-04-04 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-03-28,84.30,0.30,61,2024-03-28 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-03-21,83.97,0.40,62,2024-03-21 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-03-14,83.56,-0.50,63,2024-03-14 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-03-07,84.05,-0.10,64,2024-03-07 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-02-29,84.18,0.30,65,2024-02-29 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-02-22,83.87,-0.30,66,2024-02-22 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-02-15,84.17,0.30,67,2024-02-15 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-02-08,83.86,0.60,68,2024-02-08 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-02-01,83.24,0.10,69,2024-02-01 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-01-25,83.10,0.40,70,2024-01-25 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-01-18,82.72,0.30,71,2024-01-18 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-01-11,82.40,0.10,72,2024-01-11 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2024-01-04,82.28,-0.20,73,2024-01-04 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-12-28,82.52,-2.10,74,2023-12-28 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-12-21,84.65,0.00,75,2023-12-21 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-12-14,84.62,0.00,76,2023-12-14 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-12-07,84.60,-1.30,77,2023-12-07 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-11-30,85.93,-1.40,78,2023-11-30 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-11-23,87.37,0.00,79,2023-11-23 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-11-16,87.38,0.20,80,2023-11-16 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-11-09,87.15,-1.30,81,2023-11-09 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-11-02,88.40,-0.20,82,2023-11-02 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-10-26,88.57,-0.10,83,2023-10-26 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-10-19,88.62,-0.50,84,2023-10-19 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-10-12,89.12,-0.30,85,2023-10-12 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-10-05,89.46,-0.70,86,2023-10-05 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-09-28,90.15,0.10,87,2023-09-28 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-09-21,90.03,-0.20,88,2023-09-21 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-09-14,90.19,-0.20,89,2023-09-14 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-09-07,90.43,0.40,90,2023-09-07 00:00:00,1,0,2025-06-06 23:21:04,0,2025-06-06 23:21:04,,,
2023-08-31,90.08,0.40,91,2023-08-31 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-08-24,89.65,-1.70,92,2023-08-24 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-08-17,91.34,0.60,93,2023-08-17 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-08-10,90.70,0.20,94,2023-08-10 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-08-03,90.52,0.00,95,2023-08-03 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-07-27,90.50,-1.00,96,2023-07-27 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-07-20,91.50,-0.40,97,2023-07-20 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-07-13,91.90,-0.70,98,2023-07-13 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-07-06,92.56,-0.30,99,2023-07-06 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-06-29,92.85,0.30,100,2023-06-29 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-06-22,92.51,1.40,101,2023-06-22 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-06-15,91.16,0.70,102,2023-06-15 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-06-08,90.50,0.30,103,2023-06-08 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-06-01,90.20,-0.40,104,2023-06-01 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-05-25,90.58,0.70,105,2023-05-25 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-05-18,89.93,-0.10,106,2023-05-18 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-05-11,90.04,-0.90,107,2023-05-11 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-05-04,90.93,-0.80,108,2023-05-04 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-04-27,91.76,-1.10,109,2023-04-27 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-04-20,92.84,-0.20,110,2023-04-20 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-04-13,93.06,0.60,111,2023-04-13 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-04-06,92.42,1.60,112,2023-04-06 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-03-30,90.86,1.10,113,2023-03-30 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-03-23,89.73,0.90,114,2023-03-23 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-03-16,88.85,0.30,115,2023-03-16 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-03-09,88.55,0.60,116,2023-03-09 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-03-02,87.93,0.20,117,2023-03-02 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-02-23,87.76,0.90,118,2023-02-23 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-02-16,86.87,0.80,119,2023-02-16 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-02-09,86.12,0.40,120,2023-02-09 00:00:00,1,0,2025-06-06 23:21:08,0,2025-06-06 23:21:08,,,
2023-02-02,85.71,0.10,121,2023-02-02 00:00:00,1,0,2025-06-06 23:21:11,0,2025-06-06 23:21:11,,,
2023-01-26,85.57,0.80,122,2023-01-26 00:00:00,1,0,2025-06-06 23:21:11,0,2025-06-06 23:21:11,,,
2023-01-19,84.78,0.50,123,2023-01-19 00:00:00,1,0,2025-06-06 23:21:11,0,2025-06-06 23:21:11,,,
2023-01-12,84.28,0.60,124,2023-01-12 00:00:00,1,0,2025-06-06 23:21:11,0,2025-06-06 23:21:11,,,
2023-01-05,83.67,,125,2023-01-05 00:00:00,1,0,2025-06-06 23:21:11,0,2025-06-06 23:21:11,,,
2025-06-12,90.46,0.00,126,2025-06-12 00:00:00,1,0,2025-06-13 23:19:29,0,2025-06-13 23:19:29,,,
2025-06-05,90.45,-0.20,127,2025-06-05 00:00:00,1,0,2025-06-13 23:19:29,0,2025-06-13 23:19:29,,,
2025-05-29,90.62,-0.50,128,2025-05-29 00:00:00,1,0,2025-06-13 23:19:29,0,2025-06-13 23:19:29,,,
2025-06-19,90.28,-0.20,129,2025-06-19 00:00:00,1,0,2025-06-20 23:22:18,0,2025-06-20 23:22:18,,,
2025-06-26,90.62,0.30,130,2025-06-26 00:00:00,1,0,2025-06-30 23:19:16,0,2025-06-30 23:19:16,,,
2025-07-03,90.16,-0.50,131,2025-07-03 00:00:00,1,0,2025-07-04 23:18:55,0,2025-07-04 23:18:55,,,
2025-07-10,89.99,-0.20,132,2025-07-10 00:00:00,1,0,2025-07-18 23:18:52,0,2025-07-18 23:18:52,,,
2025-07-17,90.49,0.50,133,2025-07-17 00:00:00,1,0,2025-07-21 23:20:14,0,2025-07-21 23:20:14,,,
2025-07-24,90.66,0.20,134,2025-07-24 00:00:00,1,0,2025-07-28 23:18:45,0,2025-07-28 23:18:45,,,
2025-07-31,90.33,-0.30,135,2025-07-31 00:00:00,1,0,2025-08-08 23:19:04,0,2025-08-08 23:19:04,,,
2025-08-07,90.15,-0.20,136,2025-08-07 00:00:00,1,0,2025-08-15 23:20:22,0,2025-08-15 23:20:22,,,
2025-08-14,90.19,0.00,137,2025-08-14 00:00:00,1,0,2025-08-18 23:18:17,0,2025-08-18 23:18:17,,,
2025-08-21,90.24,0.10,138,2025-08-21 00:00:00,1,0,2025-08-25 23:20:14,0,2025-08-25 23:20:14,,,
2025-08-28,90.09,-0.20,139,2025-08-28 00:00:00,1,0,2025-09-01 23:19:21,0,2025-09-01 23:19:21,,,
2025-09-04,86.24,-3.90,140,2025-09-04 00:00:00,1,0,2025-09-08 23:19:57,0,2025-09-08 23:19:57,,,
