时间,高炉产能利用率,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-05-22,91.10,-0.30,1,2025-05-22 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-05-15,91.44,-0.60,2,2025-05-15 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-05-08,92.01,0.00,3,2025-05-08 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-05-01,92.01,0.60,4,2025-05-01 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-04-24,91.40,0.80,5,2025-04-24 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-04-17,90.59,0.10,6,2025-04-17 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-04-10,90.50,0.80,7,2025-04-10 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-04-03,89.69,0.30,8,2025-04-03 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-03-27,89.39,0.80,9,2025-03-27 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-03-20,88.58,1.90,10,2025-03-20 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-03-13,86.72,0.20,11,2025-03-13 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-03-06,86.49,0.50,12,2025-03-06 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-02-27,85.95,0.00,13,2025-02-27 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-02-20,85.92,0.20,14,2025-02-20 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-02-13,85.75,-0.50,15,2025-02-13 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-02-06,86.23,0.40,16,2025-02-06 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-01-30,85.81,0.30,17,2025-01-30 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-01-23,85.53,0.80,18,2025-01-23 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-01-16,84.69,0.00,19,2025-01-16 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-01-09,84.66,0.50,20,2025-01-09 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2025-01-02,84.16,-0.50,21,2025-01-02 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-12-26,84.64,-0.60,22,2024-12-26 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-12-19,85.19,-0.40,23,2024-12-19 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-12-12,85.54,-1.60,24,2024-12-12 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-12-05,87.11,0.00,25,2024-12-05 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-11-28,87.13,-0.70,26,2024-11-28 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-11-21,87.80,-0.50,27,2024-11-21 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-11-14,88.26,0.40,28,2024-11-14 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-11-07,87.90,-0.30,29,2024-11-07 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-10-31,88.20,0.00,30,2024-10-31 00:00:00,1,0,2025-06-06 23:20:57,0,2025-06-06 23:20:57,,,
2024-10-24,88.18,0.00,31,2024-10-24 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-10-17,88.18,0.50,32,2024-10-17 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-10-10,87.69,1.00,33,2024-10-10 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
2024-10-03,86.69,0.60,34,2024-10-03 00:00:00,1,0,2025-06-06 23:21:02,0,2025-06-06 23:21:02,,,
