时间,当月值(万吨),同比变化(万吨),同比增长(%),累计值(万吨),累计变化(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-12,33300.00,950.00,2.90,365000.00,3300.00,0.90,55,2020-12-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-11,32200.00,600.00,1.95,327800.00,1300.00,0.40,56,2020-11-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-10,31300.00,700.00,2.30,295000.00,500.00,0.17,57,2020-10-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-09,31400.00,700.00,2.30,263700.00,300.00,0.12,58,2020-09-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-08,30600.00,-400.00,-1.31,231900.00,-800.00,-0.35,59,2020-08-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-07,31000.00,-200.00,-0.65,202800.00,-350.00,0.17,60,2020-07-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2020-06,31100.00,900.00,2.85,171500.00,1500.00,0.90,61,2020-06-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2020-05,29700.00,-500.00,-1.75,140000.00,950.00,0.70,62,2020-05-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2020-04,28100.00,-800.00,-2.85,107600.00,-1600.00,-1.60,63,2020-04-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2020-03,27000.00,-1500.00,-5.26,73500.00,-5000.00,-6.48,64,2020-03-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2020-02,22374.90,,,,,,65,2020-02-29 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2020-01,25449.20,,,,,,66,2020-01-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-12,32612.70,,,,,,67,2019-12-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-11,30700.00,900.00,3.02,321400.00,12700.00,4.12,68,2019-11-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-10,30200.00,900.00,3.07,291000.00,12000.00,4.28,69,2019-10-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-09,29500.00,430.00,1.48,259000.00,10600.00,4.28,70,2019-09-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-08,30500.00,1900.00,6.64,229800.00,10400.00,4.78,71,2019-08-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-07,29500.00,1700.00,6.12,197000.00,5900.00,3.09,72,2019-07-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-06,31600.00,2800.00,9.72,168000.00,3700.00,2.31,73,2019-06-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-05,28500.00,200.00,0.77,135200.00,1200.00,0.89,74,2019-05-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-04,28100.00,300.00,1.08,106600.00,700.00,0.66,75,2019-04-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-03,27300.00,-222.00,-0.81,77190.00,-926.00,-1.19,76,2019-03-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-02,23000.00,-1000.00,-4.17,48750.00,-750.00,-1.52,77,2019-02-28 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2019-01,28088.60,,,,,,78,2019-01-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-12,28277.30,,,,,,79,2018-12-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-11,29500.00,400.00,1.37,306615.00,16697.00,5.76,80,2018-11-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-10,29800.00,1300.00,4.56,278175.00,13430.00,5.07,81,2018-10-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-09,26833.10,300.00,1.06,247300.00,11100.00,4.70,82,2018-09-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-08,26980.60,50.00,0.18,218800.00,9800.00,4.69,83,2018-08-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-07,26462.20,1150.00,4.13,192500.00,8500.00,4.62,84,2018-07-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-06,27807.70,1000.00,3.57,162620.00,6270.00,4.00,85,2018-06-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-05,27279.70,500.00,1.82,133320.00,4070.00,3.15,86,2018-05-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-04,26227.10,700.00,2.48,106431.00,3431.00,3.33,87,2018-04-30 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-03,27243.20,1000.00,3.51,79000.00,3300.00,4.36,88,2018-03-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-02,23991.50,0.00,0.00,50800.00,2700.00,5.61,89,2018-02-28 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2018-01,27978.40,,,,,,90,2018-01-31 00:00:00,1,0,2025-09-15 23:16:17,0,2025-09-15 23:16:17,,,
2017-12,28010.50,2100.00,6.90,335500.00,11500.00,3.55,91,2017-12-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-11,26887.20,100.00,0.34,303100.00,14700.00,5.08,92,2017-11-30 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-10,26658.70,1600.00,5.95,277000.00,17800.00,6.86,93,2017-10-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-09,26455.20,1900.00,7.22,248000.00,17000.00,7.36,94,2017-09-30 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-08,26513.50,1500.00,5.70,219800.00,14500.00,7.04,95,2017-08-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-07,27030.50,4000.00,15.40,191700.00,12500.00,7.00,96,2017-07-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-06,27562.90,2400.00,9.20,162100.00,8520.00,5.55,97,2017-06-30 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-05,26548.30,2700.00,10.67,132900.00,5400.00,4.24,98,2017-05-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-04,26474.20,2300.00,9.00,105500.00,2000.00,1.93,99,2017-04-30 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-03,27765.30,200.00,0.72,76100.00,-700.00,-0.91,100,2017-03-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-02,24759.70,-200.00,-0.86,48100.00,-1100.00,-2.24,101,2017-02-28 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
2017-01,26593.80,,,,,,102,2017-01-31 00:00:00,1,0,2025-09-15 23:16:20,0,2025-09-15 23:16:20,,,
