时间,当月值(万吨),同比变化(万吨),同比增长(%),累计值(万吨),累计变化(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-08,38000.00,1100.00,3.00,300000.00,8100.00,2.80,1,2025-08-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-07,40000.00,1100.00,1.80,263000.00,7700.00,3.00,2,2025-07-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-06,38000.00,700.00,1.80,224000.00,6900.00,3.20,3,2025-06-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-05,37000.00,-400.00,-1.10,183000.00,3500.00,2.00,4,2025-05-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-04,39000.00,1800.00,4.80,149000.00,6600.00,4.70,5,2025-04-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-03,38000.00,500.00,1.30,107000.00,1200.00,1.20,6,2025-03-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-02,31000.00,700.00,2.30,65000.00,-2000.00,-3.40,7,2025-02-28 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2025-01,34000.00,-2700.00,-7.40,34000.00,-2700.00,-7.40,8,2025-01-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-12,43000.00,5000.00,11.60,450000.00,-6000.00,-1.40,9,2024-12-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-11,39000.00,2100.00,5.70,407000.00,-6000.00,-1.40,10,2024-11-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-10,39000.00,1100.00,3.10,369000.00,-7000.00,-2.00,11,2024-10-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-09,38000.00,400.00,1.10,331000.00,-7500.00,-2.20,12,2024-09-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-08,38000.00,1200.00,3.20,294000.00,-7000.00,-2.30,13,2024-08-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-07,37000.00,-300.00,-0.80,255000.00,-10000.00,-3.70,14,2024-07-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-06,38000.00,-810.00,-2.10,217000.00,-10000.00,-4.60,15,2024-06-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-05,38000.00,-700.00,-1.90,180000.00,-8000.00,-4.30,16,2024-05-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-04,37000.00,-1400.00,-3.70,142000.00,-7000.00,-4.70,17,2024-04-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-03,36000.00,-1200.00,-3.30,104000.00,-6800.00,-6.20,18,2024-03-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-02,33000.00,-4200.00,-11.30,71000.00,-1150.00,-1.60,19,2024-02-29 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2024-01,37500.00,2200.00,6.30,37500.00,2200.00,6.30,20,2024-01-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-12,37000.00,-1000.00,-2.60,450000.00,12000.00,2.80,21,2023-12-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-11,39000.00,-750.00,-2.00,413000.00,11000.00,2.70,22,2023-11-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-10,38000.00,600.00,1.60,375000.00,13000.00,3.50,23,2023-10-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-09,37000.00,-900.00,-2.40,336000.00,11000.00,3.50,24,2023-09-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-08,37000.00,1100.00,3.00,300000.00,12800.00,4.50,25,2023-08-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-07,38000.00,1800.00,5.00,262000.00,11600.00,4.60,26,2023-07-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-06,37000.00,400.00,1.10,224000.00,9800.00,4.60,27,2023-06-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-05,36000.00,-180.00,-0.50,184000.00,7200.00,4.00,28,2023-05-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-04,37000.00,730.00,2.00,147000.00,5900.00,4.20,29,2023-04-30 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-03,38000.00,1100.00,3.00,110000.00,4500.00,4.30,30,2023-03-31 00:00:00,1,0,2025-09-15 23:16:10,0,2025-09-15 23:16:10,,,
2023-02,36000.00,3600.00,11.20,70000.00,1800.00,2.60,31,2023-02-28 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2023-01,34000.00,-1800.00,-5.00,34000.00,-1800.00,-5.00,32,2023-01-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-12,38000.00,-500.00,-1.30,440000.00,40000.00,10.50,33,2022-12-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-11,36000.00,-822.00,-2.20,399000.00,40000.00,11.10,34,2022-11-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-10,37400.00,470.00,1.30,362000.00,41000.00,12.70,35,2022-10-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-09,36900.00,3300.00,9.80,322000.00,37000.00,13.10,36,2022-09-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-08,34700.00,2600.00,8.10,285600.00,34500.00,13.70,37,2022-08-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-07,36800.00,4250.00,13.00,251000.00,29000.00,13.10,38,2022-07-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-06,34000.00,3300.00,10.60,210000.00,23000.00,12.20,39,2022-06-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-05,35000.00,3251.00,10.10,177000.00,19700.00,12.50,40,2022-05-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-04,33600.00,3350.00,11.10,139000.00,15100.00,12.20,41,2022-04-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2022-03,35800.00,2000.00,6.00,104000.00,10000.00,11.20,42,2022-03-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-12,35800.00,1900.00,5.60,393000.00,19000.00,5.20,43,2021-12-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-11,35100.00,1600.00,4.80,356700.00,18100.00,5.30,44,2021-11-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-10,33100.00,1000.00,0.90,318000.00,16200.00,5.40,45,2021-10-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-09,31750.00,290.00,0.90,283000.00,14500.00,5.40,46,2021-09-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-08,31400.00,400.00,1.30,251000.00,14000.00,5.90,47,2021-08-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-07,31000.00,-407.00,-1.30,217000.00,12400.00,6.10,48,2021-07-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-06,30900.00,650.00,2.10,185000.00,14400.00,8.40,49,2021-06-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-05,31400.00,1150.00,3.80,155000.00,15800.00,11.40,50,2021-05-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-04,31600.00,900.00,2.93,123000.00,12800.00,11.60,51,2021-04-30 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-03,33100.00,1256.00,3.90,91300.00,13000.00,16.70,52,2021-03-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-02,25998.70,,,,,,53,2021-02-28 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
2021-01,32835.60,,,,,,54,2021-01-31 00:00:00,1,0,2025-09-15 23:16:13,0,2025-09-15 23:16:13,,,
