时间,同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,4.20,1,2024-06-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2024-05,4.40,2,2024-05-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2024-04,1.50,3,2024-04-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2024-03,-1.60,4,2024-03-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2024-02,,5,2024-02-29 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-12,5.80,6,2023-12-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-11,5.20,7,2023-11-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-10,3.30,8,2023-10-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-09,1.40,9,2023-09-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-08,1.60,10,2023-08-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-07,0.40,11,2023-07-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-06,2.00,12,2023-06-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-05,-1.60,13,2023-05-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-04,-0.60,14,2023-04-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-03,0.70,15,2023-03-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2023-02,,16,2023-02-28 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-12,3.70,17,2022-12-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-11,5.50,18,2022-11-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-10,3.00,19,2022-10-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-09,7.70,20,2022-09-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-08,5.80,21,2022-08-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-07,11.00,22,2022-07-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-06,11.20,23,2022-06-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-05,8.20,24,2022-05-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-04,13.20,25,2022-04-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2022-03,16.70,26,2022-03-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2021-12,12.20,27,2021-12-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2021-11,9.60,28,2021-11-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2021-10,9.20,29,2021-10-31 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2021-09,2.90,30,2021-09-30 00:00:00,1,0,2024-07-20 14:13:20,0,2024-07-20 14:13:20,,,
2021-08,2.30,31,2021-08-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2021-07,0.30,32,2021-07-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2021-06,-1.30,33,2021-06-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2021-05,2.80,34,2021-05-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2021-04,2.70,35,2021-04-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2021-03,0.10,36,2021-03-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-12,6.60,37,2020-12-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-11,4.60,38,2020-11-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-10,5.20,39,2020-10-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-09,2.70,40,2020-09-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-08,2.80,41,2020-08-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-07,-4.00,42,2020-07-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-06,-0.30,43,2020-06-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-05,0.30,44,2020-05-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-04,3.70,45,2020-04-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2020-03,9.10,46,2020-03-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-12,9.20,47,2019-12-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-11,7.20,48,2019-11-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-10,5.80,49,2019-10-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-09,11.40,50,2019-09-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-08,4.00,51,2019-08-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-07,8.00,52,2019-07-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
