时间,数据类目,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-03,HBA,283.08,277.05,6.03,2.18%,46,2023-03-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2023-03,HBA I,136.70,,,%,47,2023-03-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2023-03,HBA II,102.26,,,%,48,2023-03-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2023-02,HBA,277.05,305.21,-28.16,-9.23%,49,2023-02-28 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2023-01,HBA,305.21,281.48,23.73,8.43%,50,2023-01-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-12,HBA,281.48,308.20,-26.72,-8.67%,51,2022-12-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-11,HBA,308.20,330.97,-22.77,-6.88%,52,2022-11-30 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-10,HBA,330.97,319.22,11.75,3.68%,53,2022-10-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-09,HBA,319.22,321.59,-2.37,-0.74%,54,2022-09-30 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-08,HBA,321.59,319.00,2.59,0.81%,55,2022-08-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-07,HBA,319.00,323.91,-4.91,-1.52%,56,2022-07-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-06,HBA,323.91,275.64,48.27,17.51%,57,2022-06-30 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-05,HBA,275.64,288.40,-12.76,-4.42%,58,2022-05-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-04,HBA,288.40,203.69,84.71,41.59%,59,2022-04-30 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-03,HBA,203.69,188.38,15.31,8.13%,60,2022-03-31 00:00:00,1,0,2024-07-20 06:31:59,0,2024-07-20 06:31:59,,,
2022-02,HBA,188.38,158.50,29.88,18.85%,61,2022-02-28 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2022-01,HBA,158.50,159.79,-1.29,-0.81%,62,2022-01-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
