时间,电网,月内供煤(万吨),月内耗煤(万吨),当日库存(万吨),可用天数(天),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-04-30,全国,10740.00,9420.00,7097.00,22.00,1,2022-04-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2022-03-31,全国,11563.00,11997.00,5895.00,15.00,2,2022-03-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2022-02-28,全国,11004.00,11928.00,6370.00,15.00,3,2022-02-28 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2022-01-31,全国,13237.00,14849.00,7384.00,15.00,4,2022-01-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-12-31,全国,14136.00,14446.00,8995.00,18.00,5,2021-12-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-11-30,全国,15407.00,12865.00,9322.00,22.00,6,2021-11-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-10-31,全国,13423.00,11098.00,6832.00,18.00,7,2021-10-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-09-30,全国,11625.00,11904.00,4584.00,11.00,8,2021-09-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-08-31,全国,13330.00,13578.00,4890.00,11.00,9,2021-08-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-07-31,全国,12648.00,13857.00,5067.00,11.00,10,2021-07-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-06-30,全国,12896.00,12648.00,6265.00,15.00,11,2021-06-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-05-31,全国,11656.00,10974.00,6032.00,16.00,12,2021-05-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-04-30,全国,11532.00,11160.00,5438.00,15.00,13,2021-04-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-03-31,全国,11129.00,12617.00,5091.00,12.00,14,2021-03-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-02-28,全国,10024.00,9576.00,6582.00,19.00,15,2021-02-28 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2021-01-31,全国,15283.00,15500.00,6267.00,12.00,16,2021-01-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-12-31,全国,13392.00,15531.00,6665.00,13.00,17,2020-12-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-11-30,全国,11070.00,11700.00,8708.00,21.00,18,2020-11-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-10-31,全国,9889.00,8866.00,8410.00,26.00,19,2020-10-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-09-30,全国,10860.00,10140.00,8371.00,24.00,20,2020-09-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-08-31,全国,12121.00,13206.00,7788.00,18.00,21,2020-08-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-07-31,全国,12028.00,11625.00,8827.00,23.00,22,2020-07-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-06-30,全国,12000.00,11250.00,8542.00,22.00,23,2020-06-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-05-31,全国,11780.00,10788.00,7794.00,22.00,24,2020-05-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-05-20,全国,7240.00,7040.00,7460.00,21.00,25,2020-05-20 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-05-10,全国,3230.00,3410.00,7310.00,21.00,26,2020-05-10 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-04-30,全国,10560.00,9930.00,7478.00,22.00,27,2020-04-30 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-04-20,全国,6880.00,6640.00,7285.00,21.00,28,2020-04-20 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-04-10,全国,3200.00,3440.00,7183.00,21.00,29,2020-04-10 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-03-31,全国,9176.00,10571.00,7460.00,22.00,30,2020-03-31 00:00:00,1,0,2024-07-20 15:14:57,0,2024-07-20 15:14:57,,,
2020-03-20,全国,6560.00,6420.00,7965.00,25.00,31,2020-03-20 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2020-03-10,全国,3330.00,3270.00,7891.00,26.00,32,2020-03-10 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2020-02-10,全国,2970.00,2900.00,7147.00,20.00,33,2020-02-10 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2019-12-31,全国,12865.00,14849.00,8155.00,17.00,34,2019-12-31 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2019-12-20,全国,8480.00,9280.00,8857.00,19.00,35,2019-12-20 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2019-12-10,全国,4160.00,4510.00,9251.00,21.00,36,2019-12-10 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2019-11-30,全国,12120.00,12870.00,9697.00,24.00,37,2019-11-30 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
2019-11-20,全国,8020.00,7700.00,9951.00,27.00,38,2019-11-20 00:00:00,1,0,2024-07-20 15:15:00,0,2024-07-20 15:15:00,,,
