时间,地区名称,当月数量(吨),当月金额(美元),累计数量(吨),累计金额(美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,山东省,192245.00,57346009.00,688563.00,182077106.00,34,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,江西省,598.00,134081.00,598.00,134081.00,35,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,福建省,45296.00,9278648.00,303552.00,69733574.00,36,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,安徽省,0.00,0.00,0.00,0.00,37,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,浙江省,139153.00,39767944.00,411474.00,110639714.00,38,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,江苏省,34378.00,4399093.00,243492.00,57556280.00,39,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,上海市,16060.00,2013342.00,62236.00,8180497.00,40,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,黑龙江省,94.00,63844.00,94.00,63844.00,41,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,吉林省,2588.00,469428.00,6180.00,1176326.00,42,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,辽宁省,8886.00,1886762.00,16417.00,3680856.00,43,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,内蒙古区,0.00,0.00,35452.00,11687624.00,44,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,山西省,64480.00,13804431.00,167383.00,32993932.00,45,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,河北省,35.00,8400.00,233.00,73095.00,46,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,天津市,39376.00,12691373.00,362116.00,102947218.00,47,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,北京市,10146.00,1869385.00,64533.00,14254008.00,48,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,新疆区,469.00,150889.00,6665.00,2618648.00,49,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,宁夏区,34.00,10094.00,738.00,629594.00,50,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,青海省,0.00,0.00,0.00,0.00,51,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,甘肃省,0.00,0.00,0.00,0.00,52,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,陕西省,59239.00,11521504.00,279602.00,56873408.00,53,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,云南省,4603.00,1288003.00,19579.00,5648974.00,54,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,贵州省,0.00,0.00,0.00,0.00,55,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,四川省,0.00,0.00,87968.00,23014622.00,56,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,海南省,98597.00,32583032.00,182359.00,51769061.00,57,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,广西区,8838.00,2212417.00,20473.00,5967596.00,58,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
2024-04,广东省,203048.00,50308387.00,346902.00,92335310.00,59,2024-04-30 00:00:00,1,0,2024-07-21 00:35:08,0,2024-07-21 00:35:08,,,
