时间,所属电网,当月值(万吨),同期值(万吨),同比增长(%),累计值(万吨),同期累计(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-07,全国,11625.00,12431.00,-6.93,,,,22,2020-07-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-06,全国,11250.00,10749.00,4.66,,,,23,2020-06-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-05,全国,10788.00,9982.00,8.07,,,,24,2020-05-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-04,全国,9930.00,10320.00,-3.78,,,,25,2020-04-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-03,全国,10571.00,11377.00,-7.08,,,,26,2020-03-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-02,全国,,,,,,,27,2020-02-29 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-01,全国,,,,,,,28,2020-01-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2019-12,全国,14849.00,9982.00,48.76,140464.00,137578.00,2.10,29,2019-12-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2019-11,全国,12870.00,11670.00,10.28,125615.00,123473.00,1.73,30,2019-11-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2019-10,全国,10168.00,9982.00,1.86,112745.00,112043.00,6.27,31,2019-10-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-09,全国,10650.00,10620.00,0.28,102577.00,102061.00,0.51,32,2019-09-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-08,全国,12741.00,12772.00,-0.24,91927.00,91441.00,0.53,33,2019-08-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-07,全国,12431.00,12710.00,-2.20,79186.00,77542.00,2.12,34,2019-07-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-06,全国,10740.00,10680.00,0.56,66755.00,64832.00,2.97,35,2019-06-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-05,全国,9982.00,10602.00,-5.85,56015.00,55288.00,1.31,36,2019-05-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-04,全国,10320.00,9990.00,3.30,46033.00,43550.00,5.70,37,2019-04-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-03,全国,11377.00,11098.00,2.51,35713.00,34668.00,3.01,38,2019-03-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-02,全国,10416.00,9744.00,6.90,24336.00,23570.00,3.20,39,2019-02-28 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2019-01,全国,13915.00,13821.00,0.68,13915.00,13821.00,0.68,40,2019-01-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-12,全国,14105.00,13175.00,7.06,137578.00,130890.00,5.11,41,2018-12-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-11,全国,11430.00,10860.00,5.25,123473.00,115400.00,7.00,42,2018-11-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-10,全国,9982.00,9486.00,5.23,112043.00,104540.00,7.18,43,2018-10-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-09,全国,10620.00,9900.00,7.27,102061.00,95054.00,7.37,44,2018-09-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-08,全国,12772.00,11935.00,7.01,90314.00,85154.00,6.06,45,2018-08-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-07,全国,12710.00,11997.00,5.94,77542.00,73219.00,5.90,46,2018-07-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-06,全国,10680.00,9840.00,8.54,64832.00,61222.00,5.90,47,2018-06-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-05,全国,10602.00,9269.00,14.40,55288.00,49710.00,11.20,48,2018-05-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-04,全国,9990.00,9123.00,9.50,43550.00,39338.00,10.71,49,2018-04-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-03,全国,11098.00,10723.00,3.50,34668.00,30215.00,14.74,50,2018-03-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-02,全国,9744.00,9632.00,11.63,23570.00,20611.00,14.36,51,2018-02-28 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2018-01,全国,,,,,,,52,2018-01-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-12,全国,13175.00,12278.70,7.30,130890.00,116187.00,12.65,53,2017-12-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-11,全国,10860.00,10457.00,3.85,115400.00,103908.00,11.06,54,2017-11-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-10,全国,9486.00,9272.00,2.31,104540.00,93433.00,11.89,55,2017-10-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-09,全国,,,,,,,56,2017-09-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-08,全国,11935.00,10877.00,9.73,85154.00,76098.00,11.90,57,2017-08-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-07,全国,11997.00,10523.00,14.01,73219.00,65221.00,12.26,58,2017-07-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-06,全国,9840.00,9020.00,9.09,61222.00,54698.00,11.93,59,2017-06-30 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-05,全国,10199.00,8421.00,21.11,51382.00,45678.00,12.49,60,2017-05-31 00:00:00,1,0,2024-07-20 14:07:04,0,2024-07-20 14:07:04,,,
2017-03,全国,10717.00,9671.00,10.82,31325.00,28706.00,9.12,61,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,华北地区,2907.00,2652.00,9.62,8502.00,7912.00,7.46,62,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,东北地区,1481.00,1360.00,8.90,4590.00,4372.00,4.99,63,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,华东地区,2582.00,2471.00,4.49,7027.00,6721.00,4.55,64,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,华中地区,1398.00,1277.00,9.48,4620.00,4246.00,8.81,65,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,西北地区,1088.00,919.00,18.39,3277.00,2831.00,15.75,66,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-03,中国南方,1261.00,992.00,27.12,3309.00,2625.00,26.06,67,2017-03-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-02,全国,9632.00,8039.00,19.82,20611.00,19035.00,8.28,68,2017-02-28 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
2017-01,全国,,,,,,,69,2017-01-31 00:00:00,1,0,2024-07-20 14:07:08,0,2024-07-20 14:07:08,,,
