时间,所属电网,当月值(万吨),同期值(万吨),同比增长(%),累计值(万吨),同期累计(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-04,全国,9420.00,11160.00,-15.59,,,,1,2022-04-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2022-03,全国,11997.00,12617.00,-4.91,,,,2,2022-03-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2022-02,全国,11928.00,9576.00,24.56,,,,3,2022-02-28 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2022-01,全国,14849.00,15500.00,-4.20,,,,4,2022-01-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-12,全国,14446.00,15531.00,-6.99,,,,5,2021-12-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-11,全国,12865.00,11700.00,9.96,,,,6,2021-11-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-10,全国,11098.00,8866.00,25.17,,,,7,2021-10-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-09,全国,11904.00,10140.00,17.40,,,,8,2021-09-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-08,全国,13578.00,13206.00,2.82,,,,9,2021-08-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-07,全国,13857.00,11625.00,19.20,,,,10,2021-07-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-06,全国,12648.00,11250.00,12.43,,,,11,2021-06-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-05,全国,10974.00,10788.00,1.72,,,,12,2021-05-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-04,全国,11160.00,9930.00,12.39,,,,13,2021-04-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-03,全国,12617.00,10571.00,19.35,,,,14,2021-03-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-02,全国,9576.00,,,25076.00,,,15,2021-02-28 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2021-01,全国,15500.00,,,,,,16,2021-01-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-12,全国,15531.00,14849.00,4.59,,140464.00,,17,2020-12-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-11,全国,11700.00,12870.00,-9.09,,,,18,2020-11-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-10,全国,8866.00,10168.00,-12.80,,,,19,2020-10-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-09,全国,10140.00,11010.00,-7.90,,,,20,2020-09-30 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
2020-08,全国,13206.00,12741.00,3.65,,,,21,2020-08-31 00:00:00,1,0,2024-07-20 14:07:00,0,2024-07-20 14:07:00,,,
