时间,项目名称,当期值(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-12,非制造业采购经理指数(%),41.60,38,2022-12-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-11,非制造业采购经理指数(%),46.70,39,2022-11-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-11,制造业采购经理指数(%),48.00,40,2022-11-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-10,非制造业采购经理指数(%),48.70,41,2022-10-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-10,制造业采购经理指数(%),49.20,42,2022-10-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-09,制造业采购经理指数(%),50.10,43,2022-09-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-09,非制造业采购经理指数(%),50.60,44,2022-09-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-08,非制造业采购经理指数(%),52.60,45,2022-08-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-08,制造业采购经理指数(%),49.40,46,2022-08-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-07,制造业采购经理指数(%),49.00,47,2022-07-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-07,非制造业采购经理指数(%),53.80,48,2022-07-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-06,非制造业采购经理指数(%),54.70,49,2022-06-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-06,制造业采购经理指数(%),50.20,50,2022-06-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-05,制造业采购经理指数(%),49.60,51,2022-05-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-05,非制造业采购经理指数(%),47.80,52,2022-05-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-04,制造业采购经理指数(%),47.40,53,2022-04-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-04,非制造业采购经理指数(%),41.90,54,2022-04-30 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-03,制造业采购经理指数(%),49.50,55,2022-03-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-03,非制造业采购经理指数(%),48.40,56,2022-03-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-02,制造业采购经理指数(%),50.20,57,2022-02-28 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-02,非制造业采购经理指数(%),51.60,58,2022-02-28 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-01,非制造业采购经理指数(%),51.10,59,2022-01-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2022-01,制造业采购经理指数(%),50.10,60,2022-01-31 00:00:00,1,0,2024-07-21 04:55:20,0,2024-07-21 04:55:20,,,
2021-12,制造业采购经理指数(%),50.30,61,2021-12-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-12,非制造业采购经理指数(%),52.70,62,2021-12-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-11,制造业采购经理指数(%),50.10,63,2021-11-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-11,非制造业采购经理指数(%),52.30,64,2021-11-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-10,非制造业采购经理指数(%),52.40,65,2021-10-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-10,制造业采购经理指数(%),49.20,66,2021-10-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-09,非制造业采购经理指数(%),53.20,67,2021-09-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-09,制造业采购经理指数(%),49.60,68,2021-09-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-08,制造业采购经理指数(%),50.10,69,2021-08-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-08,非制造业采购经理指数(%),47.50,70,2021-08-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-07,制造业采购经理指数(%),50.40,71,2021-07-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-07,非制造业采购经理指数(%),53.30,72,2021-07-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-06,非制造业采购经理指数(%),53.50,73,2021-06-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-06,制造业采购经理指数(%),50.90,74,2021-06-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-05,非制造业采购经理指数(%),55.20,75,2021-05-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-05,制造业采购经理指数(%),51.00,76,2021-05-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-04,制造业采购经理指数(%),51.10,77,2021-04-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-04,非制造业采购经理指数(%),54.90,78,2021-04-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
