时间,项目名称,当期值(万吨/年),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019.00,原煤开采新增生产能力(万吨/年),9701.99,1,2019-12-31 00:00:00,1,0,2024-07-20 14:18:33,0,2024-07-20 14:18:33,,,
2018.00,原煤开采新增生产能力(万吨/年),11697.05,2,2018-12-31 00:00:00,1,0,2024-07-20 14:18:33,0,2024-07-20 14:18:33,,,
2017.00,原煤开采新增生产能力(万吨/年),19873.00,3,2017-12-31 00:00:00,1,0,2024-07-20 14:18:33,0,2024-07-20 14:18:33,,,
