时间,数据项目,总体情况,年粗钢产量≤200,年粗钢产量200-600,年粗钢产量≥600,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-09-12,高炉开工率(%),80.40,,,,1,2025-09-12 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-09-05,高炉开工率(%),83.20,,,,2,2025-09-05 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-08-29,高炉开工率(%),83.36,,,,3,2025-08-29 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-08-22,高炉开工率(%),83.59,,,,4,2025-08-22 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-08-15,高炉开工率(%),83.59,,,,5,2025-08-15 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-08-08,高炉开工率(%),83.75,,,,6,2025-08-08 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-08-01,高炉开工率(%),83.46,,,,7,2025-08-01 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-07-25,高炉开工率(%),83.46,,,,8,2025-07-25 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-07-18,高炉开工率(%),83.46,,,,9,2025-07-18 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-07-11,高炉开工率(%),83.15,,,,10,2025-07-11 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
2025-07-04,高炉开工率(%),84.33,,,,11,2025-07-04 00:00:00,1,0,2025-09-15 23:27:55,0,2025-09-15 23:27:55,,,
