时间,城市,产品名称,本期价格,价格类型,备注,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-11,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",29,2024-06-11 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-07,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",30,2024-06-07 00:00:00,1,0,2024-07-20 21:51:15,0,2024-07-20 21:51:15,,,
2024-06-06,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",31,2024-06-06 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-05,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",32,2024-06-05 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-04,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",33,2024-06-04 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-06-03,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",34,2024-06-03 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-31,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",35,2024-05-31 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-30,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",36,2024-05-30 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-29,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",37,2024-05-29 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-28,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",38,2024-05-28 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-27,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",39,2024-05-27 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-24,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",40,2024-05-24 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-23,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",41,2024-05-23 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-22,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",42,2024-05-22 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-21,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",43,2024-05-21 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-20,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",44,2024-05-20 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-17,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",45,2024-05-17 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-16,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",46,2024-05-16 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-15,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",47,2024-05-15 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-14,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",48,2024-05-14 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-13,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",49,2024-05-13 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-11,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",50,2024-05-11 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-10,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",51,2024-05-10 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-09,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",52,2024-05-09 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-08,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",53,2024-05-08 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-07,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",54,2024-05-07 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-05-06,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",55,2024-05-06 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-30,达州市,二级焦,2122.00,出厂价,"A13.5S0.8 CSR60,MTO",56,2024-04-30 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-29,达州市,二级焦,2122.00,出厂价,"A13.5S0.8 CSR60,MTO",57,2024-04-29 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-28,达州市,二级焦,2122.00,出厂价,"A13.5S0.8 CSR60,MTO",58,2024-04-28 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-26,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",59,2024-04-26 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-25,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",60,2024-04-25 00:00:00,1,0,2024-07-20 21:51:19,0,2024-07-20 21:51:19,,,
2024-04-24,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",61,2024-04-24 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-23,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",62,2024-04-23 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-22,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",63,2024-04-22 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-19,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",64,2024-04-19 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-18,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",65,2024-04-18 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-17,达州市,二级焦,1890.00,出厂价,"A13.5S0.8 CSR60,MTO",66,2024-04-17 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-16,达州市,二级焦,1890.00,出厂价,"A13.5S0.8 CSR60,MTO",67,2024-04-16 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-15,达州市,二级焦,1890.00,出厂价,"A13.5S0.8 CSR60,MTO",68,2024-04-15 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-12,达州市,二级焦,1890.00,出厂价,"A13.5S0.8 CSR60,MTO",69,2024-04-12 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-11,达州市,二级焦,1890.00,出厂价,"A13.5S0.8 CSR60,MTO",70,2024-04-11 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-10,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",71,2024-04-10 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-09,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",72,2024-04-09 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-08,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",73,2024-04-08 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-07,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",74,2024-04-07 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-03,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",75,2024-04-03 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-02,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",76,2024-04-02 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-04-01,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",77,2024-04-01 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-29,达州市,二级焦,2000.00,出厂价,"A13.5S0.8 CSR60,MTO",78,2024-03-29 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-28,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",79,2024-03-28 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-27,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",80,2024-03-27 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-26,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",81,2024-03-26 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-25,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",82,2024-03-25 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-22,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",83,2024-03-22 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-21,达州市,二级焦,2110.00,出厂价,"A13.5S0.8 CSR60,MTO",84,2024-03-21 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-20,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",85,2024-03-20 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-19,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",86,2024-03-19 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-18,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",87,2024-03-18 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-15,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",88,2024-03-15 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-14,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",89,2024-03-14 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-13,达州市,二级焦,2220.00,出厂价,"A13.5S0.8 CSR60,MTO",90,2024-03-13 00:00:00,1,0,2024-07-20 21:51:22,0,2024-07-20 21:51:22,,,
2024-03-12,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",91,2024-03-12 00:00:00,1,0,2024-07-20 21:51:25,0,2024-07-20 21:51:25,,,
2024-03-11,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",92,2024-03-11 00:00:00,1,0,2024-07-20 21:51:25,0,2024-07-20 21:51:25,,,
2024-03-08,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",93,2024-03-08 00:00:00,1,0,2024-07-20 21:51:25,0,2024-07-20 21:51:25,,,
2024-03-07,达州市,二级焦,2330.00,出厂价,"A13.5S0.8 CSR60,MTO",94,2024-03-07 00:00:00,1,0,2024-07-20 21:51:25,0,2024-07-20 21:51:25,,,
