时间,煤炭产地,产品名称,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-08,贵州省,喷吹无烟煤,1200.00,到厂价,1,2024-07-08 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-07-08,贵州省,1/3焦煤,1950.00,到厂价,2,2024-07-08 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-07-08,贵州省,主焦煤,2100.00,到厂价,3,2024-07-08 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-07-01,贵州省,主焦煤,2100.00,到厂价,4,2024-07-01 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-07-01,贵州省,1/3焦煤,1950.00,到厂价,5,2024-07-01 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-07-01,贵州省,喷吹无烟煤,1200.00,到厂价,6,2024-07-01 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-24,贵州省,主焦煤,2100.00,到厂价,7,2024-06-24 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-24,贵州省,1/3焦煤,1950.00,到厂价,8,2024-06-24 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-24,贵州省,喷吹无烟煤,1200.00,到厂价,9,2024-06-24 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-17,贵州省,主焦煤,2100.00,到厂价,10,2024-06-17 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-17,贵州省,1/3焦煤,1950.00,到厂价,11,2024-06-17 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-17,贵州省,喷吹无烟煤,1200.00,到厂价,12,2024-06-17 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-03,贵州省,主焦煤,2100.00,到厂价,13,2024-06-03 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-03,贵州省,1/3焦煤,1950.00,到厂价,14,2024-06-03 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-06-03,贵州省,喷吹无烟煤,1200.00,到厂价,15,2024-06-03 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-05-27,贵州省,1/3焦煤,1950.00,到厂价,16,2024-05-27 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
2024-05-27,贵州省,喷吹无烟煤,1200.00,到厂价,17,2024-05-27 00:00:00,1,0,2024-07-17 09:26:26,0,2024-07-17 09:26:26,,,
