时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,无烟煤,180723.60,2441163.40,42975.40,668966.70,34,2023-12-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-12,其他煤,64.70,410.50,5.90,74.30,35,2023-12-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-12,煤炭,435760.20,4460862.80,99039.50,1147975.80,36,2023-12-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-11,炼焦煤,108328.80,354768.40,32752.40,106736.90,37,2023-11-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-11,煤炭,557752.70,4025102.60,112112.90,1048936.30,38,2023-11-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-11,无烟煤,233045.90,2260439.80,51541.30,625991.30,39,2023-11-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-11,其他煤,33.00,345.90,3.00,68.40,40,2023-11-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-11,其他烟煤,216345.00,1389879.10,27816.20,304990.80,41,2023-11-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,炼焦煤,48024.70,246439.70,10960.50,73984.50,42,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,煤炭,295767.20,3467349.90,66622.30,936823.40,43,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,型煤,1211.80,15316.50,351.30,9602.10,44,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,其他煤,160.60,312.90,33.60,65.40,45,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,无烟煤,205250.40,2027393.90,48894.20,574450.00,46,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,其他烟煤,40742.30,1173534.20,6335.40,277174.60,47,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-10,褐煤,377.40,4352.70,47.30,1546.60,48,2023-10-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,煤炭,432742.50,3171582.70,93971.90,870201.10,49,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,型煤,2195.20,14104.70,1174.40,9250.80,50,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,无烟煤,143861.50,1822143.50,33529.60,525555.70,51,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,其他煤,152.30,152.30,31.80,31.80,52,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,炼焦煤,41489.70,198414.90,10853.30,63024.00,53,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-09,其他烟煤,245043.80,1132791.90,48382.80,270839.20,54,2023-09-30 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,其他烟煤,238599.40,887748.20,47492.00,222456.40,55,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,煤炭,507053.90,2738840.20,105476.80,776229.20,56,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,褐煤,91.40,3975.30,8.70,1499.30,57,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,炼焦煤,18275.00,156925.30,3454.00,52170.70,58,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,型煤,1615.90,11909.50,969.60,8076.40,59,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-08,无烟煤,248472.20,1678282.00,53552.50,492026.20,60,2023-08-31 00:00:00,1,0,2024-07-20 14:46:43,0,2024-07-20 14:46:43,,,
2023-07,其他烟煤,66124.50,649148.70,11679.80,174964.40,61,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-07,无烟煤,92987.70,1429809.80,19990.80,438473.60,62,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-07,炼焦煤,2733.10,138650.30,1011.20,48716.80,63,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-07,煤炭,163330.30,2231786.30,33571.90,670752.40,64,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-07,型煤,1192.20,10293.60,813.30,7106.80,65,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-07,褐煤,292.80,3883.90,76.80,1490.60,66,2023-07-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,无烟煤,319084.70,1336822.10,80957.80,418482.90,67,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,炼焦煤,36351.40,135917.20,12215.40,47705.50,68,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,型煤,1620.40,9101.30,1130.60,6293.50,69,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,褐煤,465.60,3591.00,66.70,1413.80,70,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,煤炭,461319.40,2068456.00,117654.90,637180.50,71,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-06,其他烟煤,103797.30,583024.20,23284.40,163284.60,72,2023-06-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-05,煤炭,372276.10,1607136.60,106456.90,519525.60,73,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-05,炼焦煤,43500.00,99565.80,14549.90,35490.10,74,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
