时间,Q5500K,环比增减,Q5000K,环比增减_1,Q4500K,环比增减_2,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03-07,694.00,1.00,605.00,5.00,528.00,4.00,1,2025-03-07 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-03-06,693.00,0.00,600.00,0.00,524.00,0.00,2,2025-03-06 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-03-05,693.00,-1.00,600.00,-2.00,524.00,-2.00,3,2025-03-05 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-03-04,694.00,-3.00,602.00,-3.00,526.00,-3.00,4,2025-03-04 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-03-03,697.00,-4.00,605.00,-2.00,529.00,-3.00,5,2025-03-03 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-28,701.00,-6.00,607.00,-7.00,532.00,-5.00,6,2025-02-28 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-27,707.00,-8.00,614.00,-8.00,537.00,-7.00,7,2025-02-27 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-26,715.00,-4.00,622.00,-5.00,544.00,-5.00,8,2025-02-26 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-25,719.00,-5.00,627.00,-5.00,549.00,-4.00,9,2025-02-25 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-24,724.00,-5.00,632.00,-6.00,553.00,-6.00,10,2025-02-24 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-21,729.00,-4.00,638.00,-5.00,559.00,-4.00,11,2025-02-21 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-20,733.00,-6.00,643.00,-6.00,563.00,-5.00,12,2025-02-20 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-19,739.00,-4.00,649.00,-4.00,568.00,-4.00,13,2025-02-19 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-18,743.00,-3.00,653.00,-3.00,572.00,-3.00,14,2025-02-18 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-17,746.00,-4.00,656.00,-4.00,575.00,-4.00,15,2025-02-17 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-14,750.00,-3.00,660.00,-2.00,579.00,-1.00,16,2025-02-14 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-13,753.00,-3.00,662.00,-2.00,580.00,-1.00,17,2025-02-13 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-12,756.00,-2.00,664.00,-3.00,581.00,-2.00,18,2025-02-12 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-11,758.00,-2.00,667.00,-2.00,583.00,-2.00,19,2025-02-11 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-10,760.00,-1.00,669.00,0.00,585.00,0.00,20,2025-02-10 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-08,761.00,0.00,669.00,0.00,585.00,1.00,21,2025-02-08 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-07,761.00,0.00,669.00,0.00,584.00,0.00,22,2025-02-07 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-06,761.00,0.00,669.00,0.00,584.00,0.00,23,2025-02-06 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-02-05,761.00,-1.00,669.00,-1.00,584.00,0.00,24,2025-02-05 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-27,762.00,0.00,670.00,0.00,584.00,0.00,25,2025-01-27 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-26,762.00,0.00,670.00,0.00,584.00,0.00,26,2025-01-26 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-24,762.00,0.00,670.00,0.00,584.00,0.00,27,2025-01-24 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-23,762.00,0.00,670.00,0.00,584.00,0.00,28,2025-01-23 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-22,762.00,-1.00,670.00,-1.00,584.00,0.00,29,2025-01-22 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-21,763.00,-2.00,671.00,-1.00,584.00,0.00,30,2025-01-21 00:00:00,1,0,2025-03-07 23:14:56,0,2025-03-07 23:14:56,,,
2025-01-20,765.00,-2.00,672.00,-1.00,584.00,0.00,31,2025-01-20 00:00:00,1,0,2025-03-07 23:14:58,0,2025-03-07 23:14:58,,,
2025-01-17,767.00,-2.00,673.00,-1.00,584.00,0.00,32,2025-01-17 00:00:00,1,0,2025-03-07 23:14:58,0,2025-03-07 23:14:58,,,
2025-01-16,769.00,-3.00,674.00,-3.00,584.00,-2.00,33,2025-01-16 00:00:00,1,0,2025-03-07 23:14:58,0,2025-03-07 23:14:58,,,
2025-01-15,772.00,-2.00,677.00,-3.00,586.00,-2.00,34,2025-01-15 00:00:00,1,0,2025-03-07 23:14:58,0,2025-03-07 23:14:58,,,
