时间,地区,当月值(万重量箱),同比增长(%),累计值(万重量箱),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,四川省,434.02,,2558.49,,38,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,重庆市,174.75,,861.33,,39,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,海南省,81.93,,420.20,,40,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,广西区,293.23,,1402.53,,41,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,广东省,861.86,,4124.94,,42,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,湖南省,416.63,,1926.29,,43,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,湖北省,983.79,,4798.54,,44,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,河南省,146.54,,709.25,,45,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,山东省,782.32,,3733.48,,46,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,江西省,2.88,,15.06,,47,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,福建省,449.51,,2213.41,,48,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,安徽省,382.24,,1877.43,,49,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,浙江省,301.96,,1607.63,,50,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,江苏省,128.70,,646.28,,51,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,黑龙江省,41.17,,198.83,,52,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,吉林省,97.85,,489.45,,53,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,辽宁省,460.78,,2186.37,,54,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,内蒙古区,92.93,,448.26,,55,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,山西省,186.84,,982.46,,56,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,河北省,1248.81,,6099.12,,57,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
