时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-28,印度西海岸,动力煤1#,,5500(NAR),106.40,-0.10,CFR,30,2024-06-28 00:00:00,1,0,2024-07-17 13:41:29,0,2024-07-17 13:41:29,,,
2024-06-27,印度西海岸,动力煤3#,,4200(GAR),65.55,0.25,CFR,31,2024-06-27 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-27,印度西海岸,动力煤2#,,5000(GAR),83.55,-0.25,CFR,32,2024-06-27 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-27,印度西海岸,动力煤1#,,5500(NAR),106.50,-0.25,CFR,33,2024-06-27 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-26,印度西海岸,动力煤3#,,4200(GAR),65.30,-0.20,CFR,34,2024-06-26 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-26,印度西海岸,动力煤2#,,5000(GAR),83.80,-0.40,CFR,35,2024-06-26 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-26,印度西海岸,动力煤1#,,5500(NAR),106.75,-0.80,CFR,36,2024-06-26 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-25,印度西海岸,动力煤3#,,4200(GAR),65.50,-0.50,CFR,37,2024-06-25 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-25,印度西海岸,动力煤2#,,5000(GAR),84.20,-0.25,CFR,38,2024-06-25 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-25,印度西海岸,动力煤1#,,5500(NAR),107.55,-0.20,CFR,39,2024-06-25 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-24,印度西海岸,动力煤3#,,4200(GAR),66.00,-0.15,CFR,40,2024-06-24 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-24,印度西海岸,动力煤2#,,5000(GAR),84.45,0.00,CFR,41,2024-06-24 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-24,印度西海岸,动力煤1#,,5500(NAR),107.75,-0.15,CFR,42,2024-06-24 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-21,印度西海岸,动力煤3#,,4200(GAR),66.15,-0.25,CFR,43,2024-06-21 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-21,印度西海岸,动力煤2#,,5000(GAR),84.45,-0.20,CFR,44,2024-06-21 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-21,印度西海岸,动力煤1#,,5500(NAR),107.90,-0.50,CFR,45,2024-06-21 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-20,印度西海岸,动力煤3#,,4200(GAR),66.40,-0.05,CFR,46,2024-06-20 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
