时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,铁矿石,收盘价,804.50,-0.86%,1,2024-07-19 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-19,铁矿石,结算价,801.00,-0.62%,2,2024-07-19 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-18,铁矿石,收盘价,811.50,0.81%,3,2024-07-18 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-18,铁矿石,结算价,806.00,-1.59%,4,2024-07-18 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-17,铁矿石,收盘价,805.00,-2.31%,5,2024-07-17 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-17,铁矿石,结算价,819.00,-0.97%,6,2024-07-17 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-16,铁矿石,收盘价,824.00,-1.2%,7,2024-07-16 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-16,铁矿石,结算价,827.00,-0.6%,8,2024-07-16 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-15,铁矿石,收盘价,834.00,0.85%,9,2024-07-15 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-15,铁矿石,结算价,832.00,0.79%,10,2024-07-15 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-12,铁矿石,收盘价,827.00,-0.12%,11,2024-07-12 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-12,铁矿石,结算价,825.50,0.12%,12,2024-07-12 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-11,铁矿石,收盘价,828.00,1.85%,13,2024-07-11 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-11,铁矿石,结算价,824.50,0.37%,14,2024-07-11 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-10,铁矿石,收盘价,813.00,-2.52%,15,2024-07-10 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-10,铁矿石,结算价,821.50,-0.79%,16,2024-07-10 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-09,铁矿石,收盘价,834.00,1.03%,17,2024-07-09 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-09,铁矿石,结算价,828.00,-1.19%,18,2024-07-09 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-08,铁矿石,收盘价,825.50,-2.37%,19,2024-07-08 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-08,铁矿石,结算价,838.00,-1.87%,20,2024-07-08 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-05,铁矿石,收盘价,845.50,-2.2%,21,2024-07-05 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-05,铁矿石,结算价,854.00,-1.04%,22,2024-07-05 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-04,铁矿石,收盘价,864.50,0.06%,23,2024-07-04 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-04,铁矿石,结算价,863.00,1.59%,24,2024-07-04 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-03,铁矿石,收盘价,864.00,2.49%,25,2024-07-03 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-03,铁矿石,结算价,849.50,0.83%,26,2024-07-03 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-02,铁矿石,收盘价,843.00,0.36%,27,2024-07-02 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-02,铁矿石,结算价,842.50,1.38%,28,2024-07-02 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-01,铁矿石,收盘价,840.00,1.82%,29,2024-07-01 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-07-01,铁矿石,结算价,831.00,1.4%,30,2024-07-01 00:00:00,1,0,2024-07-20 12:24:39,0,2024-07-20 12:24:39,,,
2024-06-28,铁矿石,收盘价,825.00,0.73%,31,2024-06-28 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-28,铁矿石,结算价,819.50,-0.49%,32,2024-06-28 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-27,铁矿石,收盘价,819.00,-0.85%,33,2024-06-27 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-27,铁矿石,结算价,823.50,1.79%,34,2024-06-27 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-26,铁矿石,收盘价,826.00,3.12%,35,2024-06-26 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-26,铁矿石,结算价,809.00,1.25%,36,2024-06-26 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
2024-06-25,铁矿石,收盘价,801.00,0.69%,37,2024-06-25 00:00:00,1,0,2024-07-20 12:24:42,0,2024-07-20 12:24:42,,,
