时间,港口名称,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,福州港,20.00,41,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-12,美锦港,5.00,42,2024-07-12 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,常州港,0.00,43,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,大连港,118.00,44,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,镇江港,285.00,45,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,丹东港,67.00,46,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,福州港,20.00,47,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,舟山武港,125.00,48,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,泉州港,3.00,49,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,扬州港,0.00,50,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,江阴港,640.00,51,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,营口港,188.00,52,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,可门港,150.00,53,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,莆田港,0.00,54,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,深圳港,0.00,55,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,泰州港,6.00,56,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,北仑港,455.00,57,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,防城港,250.00,58,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
