时间,产量(亿吨),产量同比(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023.00,42.23,4.55,1,2023-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2022.00,40.39,2.40,2,2022-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2021.00,39.42,5.20,3,2021-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2020.00,37.46,-2.70,4,2020-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2019.00,38.50,2.90,5,2019-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2018.00,37.60,4.20,6,2018-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
2017.00,36.43,6.40,7,2017-12-31 00:00:00,1,0,2024-07-20 13:13:28,0,2024-07-20 13:13:28,,,
