时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-24,螺纹钢,581.25,41,2024-05-24 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-24,中厚板,144.80,42,2024-05-24 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-24,热卷,328.07,43,2024-05-24 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-24,线材,84.85,44,2024-05-24 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-24,冷轧,149.42,45,2024-05-24 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-17,中厚板,153.26,46,2024-05-17 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-17,线材,87.35,47,2024-05-17 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-17,热卷,330.25,48,2024-05-17 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-17,冷轧,148.40,49,2024-05-17 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-17,螺纹钢,612.94,50,2024-05-17 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-10,热卷,332.39,51,2024-05-10 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-10,螺纹钢,660.64,52,2024-05-10 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-10,中厚板,153.84,53,2024-05-10 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-10,冷轧,148.46,54,2024-05-10 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-10,线材,92.60,55,2024-05-10 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-03,中厚板,154.39,56,2024-05-03 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-03,热卷,330.77,57,2024-05-03 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-03,冷轧,149.04,58,2024-05-03 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-03,线材,98.61,59,2024-05-03 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-05-03,螺纹钢,680.41,60,2024-05-03 00:00:00,1,0,2024-07-20 23:50:01,0,2024-07-20 23:50:01,,,
2024-04-26,中厚板,150.66,61,2024-04-26 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-26,线材,100.26,62,2024-04-26 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-26,热卷,324.94,63,2024-04-26 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-26,螺纹钢,705.71,64,2024-04-26 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-26,冷轧,144.82,65,2024-04-26 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-19,热卷,329.89,66,2024-04-19 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-19,线材,106.97,67,2024-04-19 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-19,冷轧,145.44,68,2024-04-19 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-19,中厚板,153.03,69,2024-04-19 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-19,螺纹钢,754.86,70,2024-04-19 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-12,线材,118.58,71,2024-04-12 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-12,冷轧,146.86,72,2024-04-12 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-12,中厚板,156.31,73,2024-04-12 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-12,螺纹钢,796.39,74,2024-04-12 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-12,热卷,332.34,75,2024-04-12 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-05,冷轧,150.20,76,2024-04-05 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-05,中厚板,155.86,77,2024-04-05 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-05,螺纹钢,838.43,78,2024-04-05 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-05,线材,130.01,79,2024-04-05 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-04-05,热卷,337.81,80,2024-04-05 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-29,中厚板,158.03,81,2024-03-29 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-29,线材,140.94,82,2024-03-29 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-29,热卷,341.27,83,2024-03-29 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-29,螺纹钢,872.93,84,2024-03-29 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-29,冷轧,152.47,85,2024-03-29 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-22,线材,146.59,86,2024-03-22 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-22,螺纹钢,909.17,87,2024-03-22 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-22,热卷,339.42,88,2024-03-22 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-22,冷轧,152.83,89,2024-03-22 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-22,中厚板,159.63,90,2024-03-22 00:00:00,1,0,2024-07-20 23:50:04,0,2024-07-20 23:50:04,,,
2024-03-15,中厚板,162.39,91,2024-03-15 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-15,螺纹钢,934.28,92,2024-03-15 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-15,热卷,351.02,93,2024-03-15 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
