时间,项目名称,累计值(万百万千焦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-08,供热量,374865.00,14.20,40,2021-08-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-07,供热量,328328.00,9.70,41,2021-07-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-06,供热量,297462.00,6.60,42,2021-06-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-05,供热量,276015.00,8.20,43,2021-05-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-04,供热量,248500.00,7.80,44,2021-04-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-03,供热量,213973.00,10.80,45,2021-03-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2021-02,供热量,153917.00,8.90,46,2021-02-28 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-11,供热量,429366.00,3.80,47,2020-11-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-10,供热量,370044.00,4.80,48,2020-10-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-09,供热量,333651.00,1.60,49,2020-09-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-08,供热量,314219.00,3.90,50,2020-08-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-07,供热量,286953.00,2.00,51,2020-07-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-06,供热量,268221.00,4.20,52,2020-06-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-05,供热量,245221.00,4.60,53,2020-05-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-04,供热量,222934.00,4.60,54,2020-04-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-03,供热量,199689.00,8.40,55,2020-03-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2020-02,供热量,143776.00,9.50,56,2020-02-29 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2019-11,供热量,409486.00,0.60,57,2019-11-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2019-10,供热量,349399.00,-0.60,58,2019-10-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2019-09,供热量,325169.00,-1.40,59,2019-09-30 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2019-08,供热量,299587.00,-2.50,60,2019-08-31 00:00:00,1,0,2025-09-15 23:24:55,0,2025-09-15 23:24:55,,,
2019-07,供热量,278993.00,-2.20,61,2019-07-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2019-06,供热量,255490.00,5.90,62,2019-06-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2019-05,供热量,233041.00,5.20,63,2019-05-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2019-04,供热量,211951.00,7.30,64,2019-04-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2019-03,供热量,180150.00,4.60,65,2019-03-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2019-02,供热量,131298.00,4.90,66,2019-02-28 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-11,供热量,406913.00,15.70,67,2018-11-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-10,供热量,351598.00,15.50,68,2018-10-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-09,供热量,329940.00,18.50,69,2018-09-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-08,供热量,307119.00,21.60,70,2018-08-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-07,供热量,285386.00,19.50,71,2018-07-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-06,供热量,241261.00,10.30,72,2018-06-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-05,供热量,221422.00,10.90,73,2018-05-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-04,供热量,198329.00,10.70,74,2018-04-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-03,供热量,172258.00,13.30,75,2018-03-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2018-02,供热量,125146.00,15.20,76,2018-02-28 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-11,供热量,355905.00,5.20,77,2017-11-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-10,供热量,308345.00,5.40,78,2017-10-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-09,供热量,281948.00,5.10,79,2017-09-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-08,供热量,255711.00,4.00,80,2017-08-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-07,供热量,241582.00,6.30,81,2017-07-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-06,供热量,221040.00,6.30,82,2017-06-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-05,供热量,201509.00,7.50,83,2017-05-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-04,供热量,180682.00,8.90,84,2017-04-30 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-03,供热量,153145.00,9.60,85,2017-03-31 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
2017-02,供热量,109404.00,4.10,86,2017-02-28 00:00:00,1,0,2025-09-15 23:24:58,0,2025-09-15 23:24:58,,,
