时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-31,北方港5500K平仓价格指数,879.60,5.00,0.57,32,2024-05-31 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,长江口5000K平仓价格指数,802.60,6.60,0.83,33,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,长江口5500K平仓价格指数,908.40,6.40,0.71,34,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,北方港5000K平仓价格指数,777.80,17.80,2.34,35,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-24,北方港5500K平仓价格指数,874.60,15.60,1.82,36,2024-05-24 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-17,长江口5000K平仓价格指数,796.00,10.60,1.35,37,2024-05-17 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-17,长江口5500K平仓价格指数,902.00,9.60,1.08,38,2024-05-17 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-17,北方港5000K平仓价格指数,760.00,11.60,1.55,39,2024-05-17 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-17,北方港5500K平仓价格指数,859.00,11.60,1.37,40,2024-05-17 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-10,长江口5000K平仓价格指数,785.40,29.20,3.86,41,2024-05-10 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-10,长江口5500K平仓价格指数,892.40,26.20,3.02,42,2024-05-10 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-10,北方港5000K平仓价格指数,748.40,23.20,3.20,43,2024-05-10 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-05-10,北方港5500K平仓价格指数,847.40,21.00,2.54,44,2024-05-10 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-26,长江口5000K平仓价格指数,756.20,3.60,0.48,45,2024-04-26 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-26,长江口5500K平仓价格指数,866.20,2.40,0.28,46,2024-04-26 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
