时间,钢厂焦炭库存,可用天数,焦企焦炭库存,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-05-22,675.79,11.45,111.86,1,2025-05-22 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-05-15,682.13,11.63,98.55,2,2025-05-15 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-05-08,686.04,11.62,95.92,3,2025-05-08 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-05-01,686.86,11.64,95.87,4,2025-05-01 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-04-24,681.15,11.60,100.24,5,2025-04-24 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-04-17,680.68,11.75,102.09,6,2025-04-17 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-04-10,683.58,11.87,103.70,7,2025-04-10 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-04-03,686.26,12.00,114.22,8,2025-04-03 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-03-27,681.40,12.15,132.09,9,2025-03-27 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-03-20,677.20,12.31,145.44,10,2025-03-20 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-03-13,688.98,12.98,161.30,11,2025-03-13 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-03-06,690.88,12.58,177.97,12,2025-03-06 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-02-27,692.85,12.72,195.47,13,2025-02-27 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-02-20,693.00,12.72,211.22,14,2025-02-20 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-02-13,700.47,12.67,212.10,15,2025-02-13 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-02-06,705.19,12.62,205.22,16,2025-02-06 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-01-30,714.68,12.72,190.96,17,2025-01-30 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-01-23,723.84,12.88,162.43,18,2025-01-23 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-01-16,699.52,12.94,158.40,19,2025-01-16 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-01-09,691.93,12.98,143.40,20,2025-01-09 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2025-01-02,676.05,12.75,130.31,21,2025-01-02 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-12-26,665.83,12.68,122.72,22,2024-12-26 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-12-19,655.59,12.33,116.07,23,2024-12-19 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-12-12,645.98,11.92,115.81,24,2024-12-12 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-12-05,630.33,11.56,121.81,25,2024-12-05 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-11-28,626.35,11.54,118.01,26,2024-11-28 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-11-21,620.34,11.31,107.69,27,2024-11-21 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-11-14,605.81,11.02,102.08,28,2024-11-14 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-11-07,603.72,10.86,100.34,29,2024-11-07 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
