时间,钢厂焦炭库存,可用天数,焦企焦炭库存,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-10-31,600.31,10.81,91.55,30,2024-10-31 00:00:00,1,0,2025-06-07 00:10:47,0,2025-06-07 00:10:47,,,
2024-10-24,593.50,10.66,86.18,31,2024-10-24 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-10-17,592.30,10.63,76.77,32,2024-10-17 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-10-10,590.75,10.67,77.44,33,2024-10-10 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-10-03,587.93,10.71,77.99,34,2024-10-03 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-09-26,588.84,10.72,87.07,35,2024-09-26 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-09-19,577.64,10.55,95.12,36,2024-09-19 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-09-12,580.91,10.71,99.22,37,2024-09-12 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-09-05,581.75,10.78,100.41,38,2024-09-05 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-08-29,581.85,10.80,106.34,39,2024-08-29 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-08-22,577.47,10.84,98.13,40,2024-08-22 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-08-15,571.28,10.55,85.74,41,2024-08-15 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-08-08,567.34,10.39,74.73,42,2024-08-08 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-08-01,570.35,10.25,61.73,43,2024-08-01 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-07-25,566.22,9.94,59.66,44,2024-07-25 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-07-18,570.06,10.04,60.20,45,2024-07-18 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-07-11,560.16,9.85,59.15,46,2024-07-11 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-07-04,571.00,9.93,59.24,47,2024-07-04 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-06-27,578.03,9.99,59.50,48,2024-06-27 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-06-20,579.38,10.19,60.03,49,2024-06-20 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-06-13,580.42,10.12,57.37,50,2024-06-13 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-06-06,582.91,10.10,58.72,51,2024-06-06 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-05-30,581.29,10.08,62.21,52,2024-05-30 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-05-23,576.64,10.20,66.02,53,2024-05-23 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-05-16,572.36,10.20,60.36,54,2024-05-16 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-05-09,569.23,10.12,67.51,55,2024-05-09 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-05-02,565.47,10.02,76.35,56,2024-05-02 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-04-25,582.00,10.27,85.07,57,2024-04-25 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-04-18,614.63,10.98,98.41,58,2024-04-18 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-04-11,620.88,11.28,113.82,59,2024-04-11 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-04-04,621.14,11.54,123.63,60,2024-04-04 00:00:00,1,0,2025-06-07 00:10:50,0,2025-06-07 00:10:50,,,
2024-03-28,620.62,11.49,125.16,61,2024-03-28 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-03-21,625.77,11.73,128.88,62,2024-03-21 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-03-14,635.84,12.04,128.12,63,2024-03-14 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-03-07,655.30,12.16,134.76,64,2024-03-07 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-02-29,656.49,12.17,158.31,65,2024-02-29 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-02-22,660.16,12.30,155.56,66,2024-02-22 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-02-15,669.79,12.43,130.15,67,2024-02-15 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-02-08,688.29,12.79,110.62,68,2024-02-08 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-02-01,686.89,12.89,101.36,69,2024-02-01 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-01-25,674.60,12.60,106.59,70,2024-01-25 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-01-18,665.72,12.44,106.96,71,2024-01-18 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-01-11,651.71,12.09,102.53,72,2024-01-11 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2024-01-04,632.12,11.63,92.89,73,2024-01-04 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-12-28,608.93,11.49,84.36,74,2023-12-28 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-12-21,588.76,10.60,88.61,75,2023-12-21 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-12-14,594.41,10.76,77.55,76,2023-12-14 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-12-07,596.71,10.81,60.47,77,2023-12-07 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-11-30,596.61,10.62,61.39,78,2023-11-30 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-11-23,597.68,10.42,70.35,79,2023-11-23 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-11-16,605.35,10.72,68.81,80,2023-11-16 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-11-09,603.81,11.26,75.46,81,2023-11-09 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-11-02,592.65,11.01,81.00,82,2023-11-02 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-10-26,582.78,10.79,68.51,83,2023-10-26 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-10-19,581.22,10.71,66.72,84,2023-10-19 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-10-12,583.56,10.66,67.89,85,2023-10-12 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-10-05,588.20,10.56,67.01,86,2023-10-05 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-09-28,594.54,10.61,70.43,87,2023-09-28 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-09-21,600.07,10.66,68.97,88,2023-09-21 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-09-14,604.44,10.73,71.06,89,2023-09-14 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-09-07,603.32,10.67,77.68,90,2023-09-07 00:00:00,1,0,2025-06-07 00:10:53,0,2025-06-07 00:10:53,,,
2023-08-31,590.83,10.51,84.77,91,2023-08-31 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-08-24,576.50,10.38,79.36,92,2023-08-24 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-08-17,556.97,9.92,71.90,93,2023-08-17 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-08-10,551.73,9.74,70.72,94,2023-08-10 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-08-03,565.82,10.05,71.09,95,2023-08-03 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-07-27,571.88,10.34,69.42,96,2023-07-27 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-07-20,584.43,10.60,75.88,97,2023-07-20 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-07-13,598.26,10.82,84.25,98,2023-07-13 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-07-06,603.13,10.75,93.21,99,2023-07-06 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-06-29,616.23,10.96,104.65,100,2023-06-29 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-06-22,614.37,11.00,103.32,101,2023-06-22 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-06-15,617.84,11.18,114.95,102,2023-06-15 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-06-08,615.09,10.98,130.06,103,2023-06-08 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-06-01,622.47,11.12,128.74,104,2023-06-01 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-05-25,629.27,11.19,132.09,105,2023-05-25 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-05-18,631.99,11.31,154.81,106,2023-05-18 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-05-11,629.74,11.32,177.54,107,2023-05-11 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-05-04,636.87,11.21,168.37,108,2023-05-04 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-04-27,630.59,11.00,144.44,109,2023-04-27 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-04-20,638.15,10.85,135.10,110,2023-04-20 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-04-13,649.82,11.09,131.40,111,2023-04-13 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-04-06,657.31,11.55,126.53,112,2023-04-06 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-03-30,662.43,11.87,110.87,113,2023-03-30 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-03-23,659.74,11.72,108.48,114,2023-03-23 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-03-16,667.83,11.85,104.64,115,2023-03-16 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-03-09,675.17,12.18,108.12,116,2023-03-09 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-03-02,680.73,12.28,114.17,117,2023-03-02 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-02-23,672.08,12.27,123.82,118,2023-02-23 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-02-16,661.68,12.15,130.28,119,2023-02-16 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-02-09,657.71,12.19,128.24,120,2023-02-09 00:00:00,1,0,2025-06-07 00:10:56,0,2025-06-07 00:10:56,,,
2023-02-02,645.94,11.99,135.71,121,2023-02-02 00:00:00,1,0,2025-06-07 00:10:59,0,2025-06-07 00:10:59,,,
2023-01-26,654.21,12.27,150.24,122,2023-01-26 00:00:00,1,0,2025-06-07 00:10:59,0,2025-06-07 00:10:59,,,
2023-01-19,686.85,12.93,121.42,123,2023-01-19 00:00:00,1,0,2025-06-07 00:10:59,0,2025-06-07 00:10:59,,,
2023-01-12,673.95,12.73,104.97,124,2023-01-12 00:00:00,1,0,2025-06-07 00:10:59,0,2025-06-07 00:10:59,,,
2023-01-05,643.09,12.27,90.55,125,2023-01-05 00:00:00,1,0,2025-06-07 00:10:59,0,2025-06-07 00:10:59,,,
2025-06-12,818.51,9.40,711.33,126,2025-06-12 00:00:00,1,0,2025-06-13 23:19:57,0,2025-06-13 23:19:57,,,
2025-06-05,838.97,9.38,708.38,127,2025-06-05 00:00:00,1,0,2025-06-13 23:19:57,0,2025-06-13 23:19:57,,,
2025-05-29,864.47,9.63,722.41,128,2025-05-29 00:00:00,1,0,2025-06-13 23:19:57,0,2025-06-13 23:19:57,,,
2025-06-19,816.39,9.34,711.72,129,2025-06-19 00:00:00,1,0,2025-06-20 23:22:45,0,2025-06-20 23:22:45,,,
2025-06-26,828.42,9.51,717.61,130,2025-06-26 00:00:00,1,0,2025-06-30 23:19:40,0,2025-06-30 23:19:40,,,
2025-07-03,868.76,10.00,726.33,131,2025-07-03 00:00:00,1,0,2025-07-04 23:19:30,0,2025-07-04 23:19:30,,,
2025-07-10,912.91,10.56,720.09,132,2025-07-10 00:00:00,1,0,2025-07-18 23:19:13,0,2025-07-18 23:19:13,,,
2025-07-17,943.01,10.91,727.50,133,2025-07-17 00:00:00,1,0,2025-07-21 23:20:33,0,2025-07-21 23:20:33,,,
2025-07-24,995.55,11.44,735.03,134,2025-07-24 00:00:00,1,0,2025-07-28 23:19:18,0,2025-07-28 23:19:18,,,
2025-07-31,998.00,11.46,738.52,135,2025-07-31 00:00:00,1,0,2025-08-08 23:19:39,0,2025-08-08 23:19:39,,,
2025-08-07,991.55,11.38,743.29,136,2025-08-07 00:00:00,1,0,2025-08-15 23:20:55,0,2025-08-15 23:20:55,,,
2025-08-14,977.24,11.22,740.81,137,2025-08-14 00:00:00,1,0,2025-08-18 23:18:31,0,2025-08-18 23:18:31,,,
2025-08-21,966.93,11.05,747.09,138,2025-08-21 00:00:00,1,0,2025-08-25 23:20:38,0,2025-08-25 23:20:38,,,
2025-08-28,968.42,11.27,745.37,139,2025-08-28 00:00:00,1,0,2025-09-01 23:19:58,0,2025-09-01 23:19:58,,,
2025-09-04,928.32,10.77,733.04,140,2025-09-04 00:00:00,1,0,2025-09-08 23:20:36,0,2025-09-08 23:20:36,,,
