时间,数据名称,本期,上期,环比增减,环比增幅(%),同比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,综合价格(元/吨),693.00,677.00,16.00,2.36,-0.14%,1,2024-07-12 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-07-12,动力煤价格(元/吨),669.00,654.00,15.00,2.29,1.21%,2,2024-07-12 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-07-05,综合价格(元/吨),677.00,683.00,-6.00,-0.88,-2.59%,3,2024-07-05 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-07-05,动力煤价格(元/吨),654.00,660.00,-6.00,-0.91,-1.65%,4,2024-07-05 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-28,综合价格(元/吨),683.00,703.00,-20.00,-2.84,3.17%,5,2024-06-28 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-28,动力煤价格(元/吨),660.00,679.00,-19.00,-2.80,4.76%,6,2024-06-28 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-21,综合价格(元/吨),703.00,707.00,-4.00,-0.57,%,7,2024-06-21 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-21,动力煤价格(元/吨),679.00,684.00,-5.00,-0.73,%,8,2024-06-21 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-14,综合价格(元/吨),707.00,713.00,-6.00,-0.84,12.76%,9,2024-06-14 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-14,动力煤价格(元/吨),684.00,690.00,-6.00,-0.87,14.57%,10,2024-06-14 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-07,综合价格(元/吨),713.00,711.00,2.00,0.28,14.81%,11,2024-06-07 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-06-07,动力煤价格(元/吨),690.00,688.00,2.00,0.29,15.77%,12,2024-06-07 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-31,综合价格(元/吨),711.00,712.00,-1.00,-0.14,11.09%,13,2024-05-31 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-31,动力煤价格(元/吨),688.00,689.00,-1.00,-0.15,13.53%,14,2024-05-31 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-24,综合价格(元/吨),712.00,690.00,22.00,3.19,-8.95%,15,2024-05-24 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-24,动力煤价格(元/吨),689.00,666.00,23.00,3.45,-7.64%,16,2024-05-24 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-17,综合价格(元/吨),690.00,696.00,-6.00,-0.86,-14.92%,17,2024-05-17 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
2024-05-17,动力煤价格(元/吨),666.00,670.00,-4.00,-0.60,-16.65%,18,2024-05-17 00:00:00,1,0,2024-07-20 06:06:11,0,2024-07-20 06:06:11,,,
