时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-17,TJEA21,20000.00,660000.00,33.00,1,2024-07-17 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-07-16,TJEA21,18000.00,594000.00,33.00,2,2024-07-16 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-07-09,TJEA21,15000.00,525000.00,35.00,3,2024-07-09 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-07-08,TJEA21,18400.00,662400.00,36.00,4,2024-07-08 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-06-21,TJEA21,100000.00,4000000.00,40.00,5,2024-06-21 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-06-18,TJEA21,9000.00,369000.00,41.00,6,2024-06-18 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-06-17,TJEA21,10000.00,390000.00,39.00,7,2024-06-17 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-06-12,TJEA21,11000.00,398200.00,36.20,8,2024-06-12 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-06-11,TJEA21,10000.00,365000.00,36.50,9,2024-06-11 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-30,TJEA21,18500.00,662300.00,35.80,10,2024-05-30 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-29,TJEA21,15000.00,534000.00,35.60,11,2024-05-29 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-24,TJEA21,18000.00,648000.00,36.00,12,2024-05-24 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-23,TJEA21,28576.00,1000160.00,35.00,13,2024-05-23 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-22,TJEA21,29000.00,986000.00,34.00,14,2024-05-22 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-21,TJEA21,28812.00,995455.00,34.55,15,2024-05-21 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-16,TJEA21,26000.00,936000.00,36.00,16,2024-05-16 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-10,TJEA21,20000.00,700000.00,35.00,17,2024-05-10 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-09,TJEA21,30000.00,990000.00,33.00,18,2024-05-09 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-08,TJEA21,29156.00,986931.00,33.85,19,2024-05-08 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-05-07,TJEA21,25000.00,850000.00,34.00,20,2024-05-07 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-30,TJEA21,28000.00,980000.00,35.00,21,2024-04-30 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-26,TJEA21,28200.00,1001100.00,35.50,22,2024-04-26 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-25,TJEA21,27600.00,993600.00,36.00,23,2024-04-25 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-15,TJEA21,25000.00,875000.00,35.00,24,2024-04-15 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-12,TJEA21,58848.00,2000832.00,34.00,25,2024-04-12 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-10,TJEA21,28800.00,993600.00,34.50,26,2024-04-10 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-04-08,TJEA21,24000.00,816000.00,34.00,27,2024-04-08 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
2024-03-29,TJEA21,58448.00,1991582.00,34.07,28,2024-03-29 00:00:00,1,0,2024-07-21 05:13:45,0,2024-07-21 05:13:45,,,
