时间,国别(地区),当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,俄罗斯,1353476.50,1.23,5548933.30,171199.00,755547.30,1,2024-05-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-05,哈萨克斯坦,0.00,100.00,0.00,0.10,0.10,2,2024-05-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-05,吉尔吉斯斯坦,4845.80,405.53,13167.90,209.30,546.00,3,2024-05-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-05,老挝,16735.90,61.37,48002.40,1649.10,4625.00,4,2024-05-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-05,蒙古,24045.50,338.48,47951.30,1001.30,2489.10,5,2024-05-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-04,俄罗斯,1337020.40,13.23,4195456.80,171438.00,584348.30,6,2024-04-30 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-04,吉尔吉斯斯坦,958.60,-70.16,8322.10,38.30,336.70,7,2024-04-30 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-04,津巴布韦,0.20,122.22,0.20,0.30,0.30,8,2024-04-30 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-04,老挝,10371.10,-0.52,31266.50,1022.80,2975.90,9,2024-04-30 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-04,蒙古,5483.90,-56.48,23905.80,222.00,1487.70,10,2024-04-30 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-03,俄罗斯,1180772.10,36.95,2858436.40,160044.90,412910.30,11,2024-03-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-03,吉尔吉斯斯坦,3212.00,147.70,7363.60,128.50,298.40,12,2024-03-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-03,老挝,10425.10,140.49,20895.40,950.50,1953.10,13,2024-03-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-03,蒙古,12601.30,527.67,18422.00,928.30,1265.70,14,2024-03-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,俄罗斯,862186.20,5.73,1677664.40,131030.80,252865.40,15,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,吉尔吉斯斯坦,1296.70,-54.58,4151.50,53.80,169.90,16,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,老挝,4334.90,-29.35,10470.30,392.10,1002.60,17,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,蒙古,2007.70,-47.35,5820.60,90.40,337.40,18,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,伊朗,127.60,-91.28,127.60,19.80,19.80,19,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-02,印尼,0.00,-100.00,0.00,0.30,0.30,20,2024-02-29 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-01,俄罗斯,815478.20,-45.57,815478.20,121834.50,121834.50,21,2024-01-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-01,吉尔吉斯斯坦,2854.80,248.83,2854.80,116.10,116.10,22,2024-01-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-01,老挝,6135.40,-4.55,6135.40,610.50,610.50,23,2024-01-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-01,蒙古,3813.00,4.53,3813.00,247.10,247.10,24,2024-01-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2024-01,秘鲁,33565.00,###########,33565.00,4871.40,4871.40,25,2024-01-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2023-12,俄罗斯,1498160.20,-0.63,17512182.70,227349.20,3026864.90,26,2023-12-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2023-12,吉尔吉斯斯坦,818.40,233.50,3836.80,35.90,225.10,27,2023-12-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2023-12,津巴布韦,0.10,100.00,0.10,0.80,0.80,28,2023-12-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
2023-12,老挝,6427.90,63.12,86366.20,625.90,8590.10,29,2023-12-31 00:00:00,1,0,2024-07-20 14:23:56,0,2024-07-20 14:23:56,,,
