时间,当期值(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-29,108.42,51,2024-05-29 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-28,92.40,52,2024-05-28 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-27,97.79,53,2024-05-27 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-26,100.14,54,2024-05-26 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-25,108.44,55,2024-05-25 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-24,94.50,56,2024-05-24 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-23,110.38,57,2024-05-23 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-22,118.20,58,2024-05-22 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-21,105.46,59,2024-05-21 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-20,120.39,60,2024-05-20 00:00:00,1,0,2024-07-20 13:27:45,0,2024-07-20 13:27:45,,,
2024-05-19,120.18,61,2024-05-19 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-18,120.14,62,2024-05-18 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-17,110.20,63,2024-05-17 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-16,120.55,64,2024-05-16 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-15,110.65,65,2024-05-15 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-14,105.38,66,2024-05-14 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-13,110.05,67,2024-05-13 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-12,110.04,68,2024-05-12 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-11,110.09,69,2024-05-11 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-10,90.12,70,2024-05-10 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-09,110.03,71,2024-05-09 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-08,110.10,72,2024-05-08 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-07,100.12,73,2024-05-07 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
