时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-17,印尼煤3#,广州港,,,,,3800.00,585.00,0.00,场地价,1,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,印尼煤2#,广州港,,,,,4500.00,735.00,0.00,场地价,2,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,印尼煤1#,广州港,,,,,4800.00,780.00,0.00,场地价,3,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,动力煤3#,防城港,10.00,41.00,0.60,,5500.00,850.00,0.00,场地价,4,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,动力煤2#,防城港,6.00,41.50,0.80,,4700.00,735.00,0.00,场地价,5,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,动力煤1#,防城港,4.00,38.00,0.80,,3800.00,545.00,0.00,场地价,6,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-17,气煤,天津港,8.00,38.50,0.80,65.00,,1740.00,0.00,场地价,7,2024-07-17 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,印尼煤3#,广州港,,,,,3800.00,585.00,0.00,场地价,8,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,印尼煤2#,广州港,,,,,4500.00,735.00,0.00,场地价,9,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,印尼煤1#,广州港,,,,,4800.00,780.00,0.00,场地价,10,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,动力煤3#,防城港,10.00,41.00,0.60,,5500.00,850.00,0.00,场地价,11,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,动力煤2#,防城港,6.00,41.50,0.80,,4700.00,735.00,0.00,场地价,12,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,动力煤1#,防城港,4.00,38.00,0.80,,3800.00,545.00,0.00,场地价,13,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-16,气煤,天津港,8.00,38.50,0.80,65.00,,1740.00,0.00,场地价,14,2024-07-16 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-15,印尼煤3#,广州港,,,,,3800.00,585.00,0.00,场地价,15,2024-07-15 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-15,印尼煤2#,广州港,,,,,4500.00,735.00,0.00,场地价,16,2024-07-15 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
2024-07-15,印尼煤1#,广州港,,,,,4800.00,780.00,0.00,场地价,17,2024-07-15 00:00:00,1,0,2024-07-17 10:40:41,0,2024-07-17 10:40:41,,,
