时间,焦企产能利用率,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-12-26,74.65,0.00,22,2024-12-26 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-12-19,74.64,-1.00,23,2024-12-19 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-12-12,75.68,-0.20,24,2024-12-12 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-12-05,75.86,0.10,25,2024-12-05 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-11-28,75.78,0.10,26,2024-11-28 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-11-21,75.70,0.40,27,2024-11-21 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-11-14,75.34,-0.20,28,2024-11-14 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-11-07,75.49,-0.10,29,2024-11-07 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-10-31,75.57,-0.20,30,2024-10-31 00:00:00,1,0,2025-06-06 23:21:14,0,2025-06-06 23:21:14,,,
2024-10-24,75.74,-0.10,31,2024-10-24 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-10-17,75.83,0.70,32,2024-10-17 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-10-10,75.10,1.90,33,2024-10-10 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-10-03,73.17,0.90,34,2024-10-03 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-09-26,72.24,0.30,35,2024-09-26 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-09-19,71.91,-0.10,36,2024-09-19 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-09-12,72.00,-0.40,37,2024-09-12 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-09-05,72.39,-0.50,38,2024-09-05 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-08-29,72.92,-2.00,39,2024-08-29 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-08-22,74.90,-0.60,40,2024-08-22 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-08-15,75.50,-0.60,41,2024-08-15 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-08-08,76.12,-0.40,42,2024-08-08 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-08-01,76.54,-0.20,43,2024-08-01 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-07-25,76.70,-0.10,44,2024-07-25 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-07-18,76.75,0.00,45,2024-07-18 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-07-11,76.75,0.70,46,2024-07-11 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-07-04,76.02,0.80,47,2024-07-04 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-06-27,75.19,0.20,48,2024-06-27 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-06-20,75.04,-0.10,49,2024-06-20 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-06-13,75.10,0.10,50,2024-06-13 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-06-06,75.01,0.30,51,2024-06-06 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
