时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-16,榆林煤综合价格指数,717.00,4.00,0.56,1,2024-07-16 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-16,榆阳6000K混煤坑口价格,760.00,12.00,1.60,2,2024-07-16 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-16,神木5800K混煤坑口价格,717.00,3.00,0.42,3,2024-07-16 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-16,府谷5500K混煤坑口价格,657.00,-9.00,-1.35,4,2024-07-16 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-16,横山5800K混煤坑口价格,687.00,9.00,1.33,5,2024-07-16 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-09,榆林煤综合价格指数,713.00,3.00,0.42,6,2024-07-09 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-09,榆阳6000K混煤坑口价格,748.00,6.00,0.81,7,2024-07-09 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-09,神木5800K混煤坑口价格,714.00,5.00,0.71,8,2024-07-09 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-09,府谷5500K混煤坑口价格,666.00,-3.00,-0.45,9,2024-07-09 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-09,横山5800K混煤坑口价格,678.00,-7.00,-1.02,10,2024-07-09 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-02,榆林煤综合价格指数,710.00,-16.00,-2.20,11,2024-07-02 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-02,榆阳6000K混煤坑口价格,742.00,-31.00,-4.01,12,2024-07-02 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-02,神木5800K混煤坑口价格,709.00,-16.00,-2.21,13,2024-07-02 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-02,府谷5500K混煤坑口价格,669.00,-6.00,-0.89,14,2024-07-02 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-07-02,横山5800K混煤坑口价格,685.00,0.00,0.00,15,2024-07-02 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-25,榆林煤综合价格指数,726.00,-10.00,-1.36,16,2024-06-25 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-25,榆阳6000K混煤坑口价格,773.00,-5.00,-0.64,17,2024-06-25 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-25,神木5800K混煤坑口价格,725.00,-15.00,-2.03,18,2024-06-25 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-25,府谷5500K混煤坑口价格,675.00,-4.00,-0.59,19,2024-06-25 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-25,横山5800K混煤坑口价格,685.00,0.00,0.00,20,2024-06-25 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-18,榆林煤综合价格指数,736.00,-4.00,-0.54,21,2024-06-18 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-18,榆阳6000K混煤坑口价格,778.00,0.00,0.00,22,2024-06-18 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-18,神木5800K混煤坑口价格,740.00,-11.00,-1.46,23,2024-06-18 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-18,府谷5500K混煤坑口价格,679.00,0.00,0.00,24,2024-06-18 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-18,横山5800K混煤坑口价格,685.00,14.00,2.09,25,2024-06-18 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-11,榆林煤综合价格指数,740.00,-5.00,-0.67,26,2024-06-11 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-11,榆阳6000K混煤坑口价格,778.00,3.00,0.39,27,2024-06-11 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-11,神木5800K混煤坑口价格,751.00,-9.00,-1.18,28,2024-06-11 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-11,府谷5500K混煤坑口价格,679.00,-4.00,-0.59,29,2024-06-11 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-11,横山5800K混煤坑口价格,671.00,-5.00,-0.74,30,2024-06-11 00:00:00,1,0,2024-07-20 06:26:23,0,2024-07-20 06:26:23,,,
2024-06-04,榆林煤综合价格指数,745.00,-1.00,-0.13,31,2024-06-04 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-06-04,榆阳6000K混煤坑口价格,775.00,-4.00,-0.51,32,2024-06-04 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-06-04,神木5800K混煤坑口价格,760.00,-3.00,-0.39,33,2024-06-04 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-06-04,府谷5500K混煤坑口价格,683.00,18.00,2.71,34,2024-06-04 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-06-04,横山5800K混煤坑口价格,676.00,-3.00,-0.44,35,2024-06-04 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-05-28,榆林煤综合价格指数,746.00,26.00,3.61,36,2024-05-28 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-05-28,榆阳6000K混煤坑口价格,779.00,25.00,3.32,37,2024-05-28 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-05-28,神木5800K混煤坑口价格,763.00,25.00,3.39,38,2024-05-28 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
2024-05-28,府谷5500K混煤坑口价格,665.00,9.00,1.37,39,2024-05-28 00:00:00,1,0,2024-07-20 06:26:26,0,2024-07-20 06:26:26,,,
