时间,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06,3.90,-2.30,22.90,-1.40,1,2024-06-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2024-05,3.70,-3.60,19.00,-1.20,2,2024-05-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2024-04,3.60,-2.30,15.40,-0.70,3,2024-04-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2024-03,4.00,-3.80,11.70,-0.10,4,2024-03-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2024-02,3.50,-6.60,7.80,5.30,5,2024-02-29 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2024-01,4.30,17.30,4.30,17.30,6,2024-01-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-12,4.40,12.70,46.50,7.50,7,2023-12-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-11,4.00,11.20,42.00,7.00,8,2023-11-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-10,3.70,5.80,38.10,6.60,9,2023-10-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-09,3.70,2.70,34.40,6.70,10,2023-09-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-08,4.10,6.10,30.70,7.20,11,2023-08-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-07,4.10,8.40,26.60,7.40,12,2023-07-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-06,3.80,12.90,22.50,7.20,13,2023-06-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-05,3.70,11.30,18.70,6.10,14,2023-05-31 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
2023-04,3.60,8.10,15.00,4.90,15,2023-04-30 00:00:00,1,0,2024-07-20 14:06:42,0,2024-07-20 14:06:42,,,
