时间,项目名称,累计值(万千瓦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-11,火电发电设备容量,137884.00,4.30,28,2023-11-30 00:00:00,1,0,2024-07-20 16:02:05,0,2024-07-20 16:02:05,,,
2023-11,发电设备容量,285336.00,13.60,29,2023-11-30 00:00:00,1,0,2024-07-20 16:02:05,0,2024-07-20 16:02:05,,,
2023-11,风电发电设备容量,41283.00,17.60,30,2023-11-30 00:00:00,1,0,2024-07-20 16:02:05,0,2024-07-20 16:02:05,,,
2023-10,核电发电设备容量,5676.00,2.20,31,2023-10-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-10,火电发电设备容量,137350.00,4.20,32,2023-10-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-10,风电发电设备容量,40400.00,15.60,33,2023-10-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-10,发电设备容量,281274.00,12.60,34,2023-10-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-10,水电发电设备容量,42023.00,3.10,35,2023-10-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-09,火电发电设备容量,137262.00,4.30,36,2023-09-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-09,水电发电设备容量,41949.00,3.40,37,2023-09-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-09,风电发电设备容量,40021.00,15.10,38,2023-09-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-09,核电发电设备容量,5676.00,2.20,39,2023-09-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-09,发电设备容量,279124.00,12.30,40,2023-09-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-08,水电发电设备容量,41893.00,3.90,41,2023-08-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-08,火电发电设备容量,136606.00,4.00,42,2023-08-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-08,发电设备容量,276153.00,11.90,43,2023-08-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-08,风电发电设备容量,39537.00,14.80,44,2023-08-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-08,核电发电设备容量,5676.00,2.20,45,2023-08-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
