时间,数据项目,本期值(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-14,中国LNG综合进口到岸价格指数,140.73,-4.15,-2.86,1,2024-07-14 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-07-07,中国LNG综合进口到岸价格指数,144.88,7.27,5.28,2,2024-07-07 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-06-30,中国LNG综合进口到岸价格指数,137.61,9.01,7.01,3,2024-06-30 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-06-23,中国LNG综合进口到岸价格指数,128.60,-4.69,-3.52,4,2024-06-23 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-06-16,中国LNG综合进口到岸价格指数,133.29,-16.49,-11.01,5,2024-06-16 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-06-09,中国LNG综合进口到岸价格指数,149.78,4.26,2.93,6,2024-06-09 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-06-02,中国LNG综合进口到岸价格指数,145.52,15.99,12.34,7,2024-06-02 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-05-26,中国LNG综合进口到岸价格指数,129.53,-2.40,-1.82,8,2024-05-26 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-05-19,中国LNG综合进口到岸价格指数,131.93,1.08,0.83,9,2024-05-19 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-05-12,中国LNG综合进口到岸价格指数,130.85,-24.42,-15.73,10,2024-05-12 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-05-05,中国LNG综合进口到岸价格指数,155.27,26.98,21.03,11,2024-05-05 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-04-28,中国LNG综合进口到岸价格指数,128.29,-10.24,-7.39,12,2024-04-28 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-04-21,中国LNG综合进口到岸价格指数,138.53,1.95,1.43,13,2024-04-21 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-04-14,中国LNG综合进口到岸价格指数,136.58,1.82,1.35,14,2024-04-14 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-04-07,中国LNG综合进口到岸价格指数,134.76,4.85,3.73,15,2024-04-07 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-03-31,中国LNG综合进口到岸价格指数,129.91,-5.72,-4.22,16,2024-03-31 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-03-24,中国LNG综合进口到岸价格指数,135.63,5.08,3.89,17,2024-03-24 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-03-17,中国LNG综合进口到岸价格指数,130.55,-9.28,-6.64,18,2024-03-17 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-03-10,中国LNG综合进口到岸价格指数,139.83,-5.03,-3.47,19,2024-03-10 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
2024-03-03,中国LNG综合进口到岸价格指数,144.86,0.57,0.40,20,2024-03-03 00:00:00,1,0,2024-07-20 12:37:13,0,2024-07-20 12:37:13,,,
