时间,项目名称,累计值(万千瓦),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-04,新增火电发电设备容量,1266.00,39,2023-04-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-03,新增火电发电设备容量,805.00,40,2023-03-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-03,新增水电发电设备容量,271.00,41,2023-03-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-03,新增发电设备容量,5900.00,42,2023-03-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-02,新增发电设备容量,3511.00,43,2023-02-28 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-02,新增水电发电设备容量,123.00,44,2023-02-28 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2023-02,新增火电发电设备容量,570.00,45,2023-02-28 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-11,新增发电设备容量,14576.00,46,2022-11-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-11,新增水电发电设备容量,2060.00,47,2022-11-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-11,新增火电发电设备容量,3333.00,48,2022-11-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-10,新增火电发电设备容量,2733.00,49,2022-10-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-10,新增水电发电设备容量,1774.00,50,2022-10-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-10,新增发电设备容量,12796.00,51,2022-10-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-09,新增火电发电设备容量,2358.00,52,2022-09-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-09,新增水电发电设备容量,1590.00,53,2022-09-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-09,新增发电设备容量,11463.00,54,2022-09-30 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-08,新增水电发电设备容量,1306.00,55,2022-08-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-08,新增火电发电设备容量,1983.00,56,2022-08-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-08,新增发电设备容量,9632.00,57,2022-08-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-07,新增发电设备容量,8443.00,58,2022-07-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-07,新增火电发电设备容量,1835.00,59,2022-07-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-07,新增水电发电设备容量,1067.00,60,2022-07-31 00:00:00,1,0,2024-07-20 16:03:32,0,2024-07-20 16:03:32,,,
2022-06,新增发电设备容量,6910.00,61,2022-06-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-06,新增水电发电设备容量,941.00,62,2022-06-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-06,新增火电发电设备容量,1320.00,63,2022-06-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-05,新增水电发电设备容量,711.00,64,2022-05-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-05,新增发电设备容量,5298.00,65,2022-05-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-05,新增火电发电设备容量,978.00,66,2022-05-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-04,新增火电发电设备容量,938.00,67,2022-04-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-04,新增发电设备容量,4233.00,68,2022-04-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-04,新增水电发电设备容量,500.00,69,2022-04-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-03,新增水电发电设备容量,343.00,70,2022-03-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-03,新增发电设备容量,3175.00,71,2022-03-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-03,新增火电发电设备容量,581.00,72,2022-03-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-02,新增水电发电设备容量,194.00,73,2022-02-28 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-02,新增火电发电设备容量,473.00,74,2022-02-28 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2022-02,新增发电设备容量,2349.00,75,2022-02-28 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-12,新增发电设备容量,17629.00,76,2021-12-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-12,新增火电发电设备容量,4628.00,77,2021-12-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-12,新增水电发电设备容量,2349.00,78,2021-12-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-11,新增火电发电设备容量,3993.00,79,2021-11-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-11,新增发电设备容量,12254.00,80,2021-11-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-11,新增水电发电设备容量,1938.00,81,2021-11-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-10,新增发电设备容量,10544.00,82,2021-10-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-10,新增火电发电设备容量,3651.00,83,2021-10-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-10,新增水电发电设备容量,1682.00,84,2021-10-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-09,新增火电发电设备容量,3246.00,85,2021-09-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-09,新增发电设备容量,9240.00,86,2021-09-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-09,新增水电发电设备容量,1436.00,87,2021-09-30 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-08,新增水电发电设备容量,1273.00,88,2021-08-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-08,新增发电设备容量,8196.00,89,2021-08-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-08,新增火电发电设备容量,2894.00,90,2021-08-31 00:00:00,1,0,2024-07-20 16:03:36,0,2024-07-20 16:03:36,,,
2021-07,新增火电发电设备容量,2247.00,91,2021-07-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-07,新增水电发电设备容量,1173.00,92,2021-07-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-07,新增发电设备容量,6825.00,93,2021-07-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-06,新增发电设备容量,5187.00,94,2021-06-30 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-06,新增火电发电设备容量,1757.00,95,2021-06-30 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-06,新增水电发电设备容量,812.00,96,2021-06-30 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-05,新增水电发电设备容量,367.00,97,2021-05-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-05,新增火电发电设备容量,1484.00,98,2021-05-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
2021-05,新增发电设备容量,3743.00,99,2021-05-31 00:00:00,1,0,2024-07-20 16:03:39,0,2024-07-20 16:03:39,,,
