时间,库存合计,京唐港,日照港,青岛港,连云港,湛江港,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-05-23,301.56,161.06,134.00,6.50,0.00,0.00,1,2025-05-23 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-05-16,306.09,163.59,137.00,5.50,0.00,0.00,2,2025-05-16 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-05-09,297.81,152.81,139.00,6.00,0.00,0.00,3,2025-05-09 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-05-02,311.78,162.78,141.00,8.00,0.00,0.00,4,2025-05-02 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-04-25,324.79,175.79,141.00,8.00,0.00,0.00,5,2025-04-25 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-04-18,337.38,185.38,144.00,8.00,0.00,0.00,6,2025-04-18 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-04-11,348.92,195.92,146.00,7.00,0.00,0.00,7,2025-04-11 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-04-04,347.56,191.06,148.00,8.50,0.00,0.00,8,2025-04-04 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-03-28,362.66,202.16,152.00,8.50,0.00,0.00,9,2025-03-28 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-03-21,376.42,210.92,156.00,9.50,0.00,0.00,10,2025-03-21 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-03-14,393.62,227.12,157.00,9.50,0.00,0.00,11,2025-03-14 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-03-07,386.23,216.73,160.00,9.50,0.00,0.00,12,2025-03-07 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-02-28,416.10,241.10,165.00,10.00,0.00,0.00,13,2025-02-28 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-02-21,417.10,241.10,166.00,10.00,0.00,0.00,14,2025-02-21 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-02-14,428.67,250.67,168.00,10.00,0.00,0.00,15,2025-02-14 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-02-07,451.29,271.29,170.00,10.00,0.00,0.00,16,2025-02-07 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-01-31,453.29,271.29,172.00,10.00,0.00,0.00,17,2025-01-31 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-01-24,454.29,271.29,173.00,10.00,0.00,0.00,18,2025-01-24 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-01-17,461.29,271.29,180.00,10.00,0.00,0.00,19,2025-01-17 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-01-10,475.02,283.02,182.00,10.00,0.00,0.00,20,2025-01-10 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2025-01-03,498.79,300.79,188.00,10.00,0.00,0.00,21,2025-01-03 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-12-27,488.92,287.92,191.00,10.00,0.00,0.00,22,2024-12-27 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-12-20,479.05,270.05,199.00,10.00,0.00,0.00,23,2024-12-20 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-12-13,448.91,228.91,210.00,10.00,0.00,0.00,24,2024-12-13 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-12-06,453.91,228.91,215.00,10.00,0.00,0.00,25,2024-12-06 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-11-29,458.83,227.83,220.00,11.00,0.00,0.00,26,2024-11-29 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-11-22,468.76,233.76,224.00,11.00,0.00,0.00,27,2024-11-22 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-11-15,445.16,209.16,231.00,5.00,0.00,0.00,28,2024-11-15 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-11-08,410.23,174.23,231.00,5.00,0.00,0.00,29,2024-11-08 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-11-01,425.23,174.23,247.00,4.00,0.00,0.00,30,2024-11-01 00:00:00,1,0,2025-06-07 00:10:15,0,2025-06-07 00:10:15,,,
2024-10-25,416.66,160.66,249.00,4.00,0.00,3.00,31,2024-10-25 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-10-18,410.56,149.56,257.00,4.00,0.00,0.00,32,2024-10-18 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-10-11,407.56,149.56,254.00,4.00,0.00,0.00,33,2024-10-11 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-10-08,398.03,163.03,231.00,4.00,0.00,0.00,34,2024-10-08 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-09-27,399.03,163.03,231.00,5.00,0.00,0.00,35,2024-09-27 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-09-20,405.10,170.10,230.00,5.00,0.00,0.00,36,2024-09-20 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-09-13,414.10,170.10,226.00,18.00,0.00,0.00,37,2024-09-13 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-09-06,404.14,156.14,235.00,13.00,0.00,0.00,38,2024-09-06 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-08-30,362.33,150.33,199.00,13.00,0.00,0.00,39,2024-08-30 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-08-23,355.37,142.37,199.00,14.00,0.00,0.00,40,2024-08-23 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-08-16,343.36,133.36,190.00,20.00,0.00,0.00,41,2024-08-16 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-08-09,312.45,119.45,181.00,12.00,0.00,0.00,42,2024-08-09 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-08-02,310.00,117.00,181.00,12.00,0.00,0.00,43,2024-08-02 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-07-26,276.50,82.50,180.00,14.00,0.00,0.00,44,2024-07-26 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-07-19,263.50,82.50,173.00,8.00,0.00,0.00,45,2024-07-19 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-07-12,267.50,82.50,175.00,8.00,2.00,0.00,46,2024-07-12 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-07-05,265.50,85.50,172.00,8.00,0.00,0.00,47,2024-07-05 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-06-28,246.50,85.50,153.00,8.00,0.00,0.00,48,2024-06-28 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-06-21,234.50,94.50,140.00,0.00,0.00,0.00,49,2024-06-21 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-06-14,234.50,94.50,140.00,0.00,0.00,0.00,50,2024-06-14 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-06-07,245.50,105.50,140.00,0.00,0.00,0.00,51,2024-06-07 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-05-31,233.50,84.50,149.00,0.00,0.00,0.00,52,2024-05-31 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-05-24,229.50,86.50,143.00,0.00,0.00,0.00,53,2024-05-24 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-05-17,223.50,82.50,141.00,0.00,0.00,0.00,54,2024-05-17 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
2024-05-10,227.50,82.50,145.00,0.00,0.00,0.00,55,2024-05-10 00:00:00,1,0,2025-06-07 00:10:19,0,2025-06-07 00:10:19,,,
