时间,海关,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-07,海关合计,390394.00,2148600.00,83901.78,475271.19,1,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,长沙海关,0.00,69.00,0.00,24.39,2,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,大连海关,0.00,146.00,0.00,14.48,3,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,呼和浩特海关,0.00,528.00,0.00,90.29,4,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,黄埔海关,0.00,26.00,0.00,22.45,5,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,昆明海关,4130.00,58187.00,1266.70,17596.30,6,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,南昌海关,0.00,107.00,0.00,48.51,7,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,南京海关,1446.00,11944.00,403.87,4693.50,8,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,南宁海关,1289.00,7775.00,297.63,1801.63,9,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,宁波海关,0.00,19.00,0.00,9.90,10,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,青岛海关,159894.00,999838.00,36747.72,232737.13,11,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,上海海关,0.00,63.00,0.00,11.39,12,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,石家庄海关,118223.00,328654.00,21467.02,60446.13,13,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,天津海关,78260.00,608028.00,19304.24,135223.66,14,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,乌鲁木齐海关,8588.00,33231.00,1959.97,7754.18,15,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,济南海关,39.00,5109.00,10.05,1250.28,16,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-07,西安海关,18525.00,94876.00,2444.58,13545.46,17,2020-07-31 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,海关合计,309720.00,1758206.00,65484.41,391369.42,18,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,长沙海关,0.00,69.00,0.00,24.39,19,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,大连海关,30.00,146.00,3.00,14.48,20,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,呼和浩特海关,165.00,528.00,27.82,90.29,21,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,黄埔海关,0.00,26.00,0.00,22.45,22,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,昆明海关,10925.00,54057.00,3165.50,16329.60,23,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,南昌海关,0.00,107.00,0.00,48.51,24,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,南京海关,201.00,10498.00,74.86,4289.63,25,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,南宁海关,1331.00,6485.00,305.66,1504.01,26,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,宁波海关,19.00,19.00,9.90,9.90,27,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,青岛海关,113741.00,839944.00,24819.91,195989.40,28,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,上海海关,0.00,63.00,0.00,11.39,29,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,石家庄海关,32306.00,210431.00,4335.37,38979.11,30,2020-06-30 00:00:00,1,0,2024-07-21 00:52:49,0,2024-07-21 00:52:49,,,
2020-06,天津海关,145091.00,529769.00,31439.83,115919.42,31,2020-06-30 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-06,乌鲁木齐海关,4011.00,24643.00,963.80,5794.21,32,2020-06-30 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-06,济南海关,188.00,5070.00,56.32,1240.23,33,2020-06-30 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-06,西安海关,1712.00,76350.00,282.44,11100.88,34,2020-06-30 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,海关合计,416203.00,1448487.00,84621.41,325885.01,35,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,长沙海关,0.00,69.00,0.00,24.39,36,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,大连海关,0.00,116.00,0.00,11.48,37,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,呼和浩特海关,0.00,362.00,0.00,62.47,38,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,黄埔海关,0.00,26.00,0.00,22.45,39,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,昆明海关,14777.00,43132.00,4154.67,13164.10,40,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,南昌海关,0.00,107.00,0.00,48.51,41,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,南京海关,398.00,10298.00,150.94,4214.77,42,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,南宁海关,865.00,5154.00,199.14,1198.35,43,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,青岛海关,161962.00,726203.00,38608.50,171169.49,44,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,上海海关,0.00,63.00,0.00,11.39,45,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,石家庄海关,46272.00,178125.00,8106.44,34643.74,46,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,天津海关,124279.00,384678.00,23755.10,84479.60,47,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,乌鲁木齐海关,1154.00,20632.00,277.26,4830.41,48,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,济南海关,383.00,4883.00,91.83,1183.91,49,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
2020-05,西安海关,66114.00,74639.00,9277.52,10818.43,50,2020-05-31 00:00:00,1,0,2024-07-21 00:52:53,0,2024-07-21 00:52:53,,,
