时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-19,海运煤炭价格指数,628.49,621.14,7.35,1.18%,1,2024-07-19 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-07-16,海运煤炭价格指数,621.14,635.33,-14.19,-2.23%,2,2024-07-16 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-07-12,海运煤炭价格指数,635.33,664.12,-28.79,-4.34%,3,2024-07-12 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-07-09,海运煤炭价格指数,664.12,620.69,43.43,7.00%,4,2024-07-09 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-07-05,海运煤炭价格指数,620.69,602.90,17.79,2.95%,5,2024-07-05 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-07-02,海运煤炭价格指数,602.90,617.54,-14.64,-2.37%,6,2024-07-02 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-28,海运煤炭价格指数,617.54,617.71,-0.17,-0.03%,7,2024-06-28 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-25,海运煤炭价格指数,617.71,618.77,-1.06,-0.17%,8,2024-06-25 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-21,海运煤炭价格指数,618.77,618.60,0.17,0.03%,9,2024-06-21 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-18,海运煤炭价格指数,618.60,618.49,0.11,0.02%,10,2024-06-18 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-14,海运煤炭价格指数,618.49,608.37,10.12,1.66%,11,2024-06-14 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-11,海运煤炭价格指数,608.37,608.71,-0.34,-0.06%,12,2024-06-11 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-07,海运煤炭价格指数,608.71,611.39,-2.68,-0.44%,13,2024-06-07 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-06,海运煤炭价格指数,611.39,622.33,-10.94,-1.76%,14,2024-06-06 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-05,海运煤炭价格指数,622.33,607.13,15.20,2.50%,15,2024-06-05 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-04,海运煤炭价格指数,607.13,605.32,1.81,0.30%,16,2024-06-04 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-06-03,海运煤炭价格指数,605.32,670.64,-65.32,-9.74%,17,2024-06-03 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-31,海运煤炭价格指数,670.64,696.34,-25.70,-3.69%,18,2024-05-31 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-30,海运煤炭价格指数,696.34,729.01,-32.67,-4.48%,19,2024-05-30 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-29,海运煤炭价格指数,729.01,750.86,-21.85,-2.91%,20,2024-05-29 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-28,海运煤炭价格指数,750.86,780.69,-29.83,-3.82%,21,2024-05-28 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-27,海运煤炭价格指数,780.69,797.09,-16.40,-2.06%,22,2024-05-27 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-24,海运煤炭价格指数,797.09,817.07,-19.98,-2.45%,23,2024-05-24 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-23,海运煤炭价格指数,817.07,815.69,1.38,0.17%,24,2024-05-23 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-22,海运煤炭价格指数,815.69,779.91,35.78,4.59%,25,2024-05-22 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-21,海运煤炭价格指数,779.91,745.33,34.58,4.64%,26,2024-05-21 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-20,海运煤炭价格指数,745.33,714.34,30.99,4.34%,27,2024-05-20 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-17,海运煤炭价格指数,714.34,703.32,11.02,1.57%,28,2024-05-17 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-16,海运煤炭价格指数,703.32,684.23,19.09,2.79%,29,2024-05-16 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-15,海运煤炭价格指数,684.23,685.56,-1.33,-0.19%,30,2024-05-15 00:00:00,1,0,2024-07-20 09:58:27,0,2024-07-20 09:58:27,,,
2024-05-14,海运煤炭价格指数,685.56,685.81,-0.25,-0.04%,31,2024-05-14 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-13,海运煤炭价格指数,685.81,687.80,-1.99,-0.29%,32,2024-05-13 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-11,海运煤炭价格指数,687.80,698.46,-10.66,-1.53%,33,2024-05-11 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-10,海运煤炭价格指数,698.46,711.19,-12.73,-1.79%,34,2024-05-10 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-09,海运煤炭价格指数,711.19,712.80,-1.61,-0.23%,35,2024-05-09 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-08,海运煤炭价格指数,712.80,692.78,20.02,2.89%,36,2024-05-08 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-07,海运煤炭价格指数,692.78,670.23,22.55,3.36%,37,2024-05-07 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-05-06,海运煤炭价格指数,670.23,659.21,11.02,1.67%,38,2024-05-06 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-30,海运煤炭价格指数,659.21,648.48,10.73,1.65%,39,2024-04-30 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-29,海运煤炭价格指数,648.48,652.30,-3.82,-0.59%,40,2024-04-29 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-28,海运煤炭价格指数,652.30,647.53,4.77,0.74%,41,2024-04-28 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-26,海运煤炭价格指数,647.53,657.66,-10.13,-1.54%,42,2024-04-26 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-25,海运煤炭价格指数,657.66,670.38,-12.72,-1.90%,43,2024-04-25 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-24,海运煤炭价格指数,670.38,687.16,-16.78,-2.44%,44,2024-04-24 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-23,海运煤炭价格指数,687.16,695.79,-8.63,-1.24%,45,2024-04-23 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-22,海运煤炭价格指数,695.79,689.24,6.55,0.95%,46,2024-04-22 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-19,海运煤炭价格指数,689.24,692.80,-3.56,-0.51%,47,2024-04-19 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-18,海运煤炭价格指数,692.80,689.23,3.57,0.52%,48,2024-04-18 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-17,海运煤炭价格指数,689.23,688.29,0.94,0.14%,49,2024-04-17 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-16,海运煤炭价格指数,688.29,645.99,42.30,6.55%,50,2024-04-16 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-15,海运煤炭价格指数,645.99,613.77,32.22,5.25%,51,2024-04-15 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-12,海运煤炭价格指数,613.77,608.11,5.66,0.93%,52,2024-04-12 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-11,海运煤炭价格指数,608.11,592.27,15.84,2.67%,53,2024-04-11 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-10,海运煤炭价格指数,592.27,591.30,0.97,0.16%,54,2024-04-10 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-09,海运煤炭价格指数,591.30,573.54,17.76,3.10%,55,2024-04-09 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-08,海运煤炭价格指数,573.54,576.19,-2.65,-0.46%,56,2024-04-08 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-07,海运煤炭价格指数,576.19,568.32,7.87,1.38%,57,2024-04-07 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-03,海运煤炭价格指数,568.32,574.51,-6.19,-1.08%,58,2024-04-03 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-02,海运煤炭价格指数,574.51,619.96,-45.45,-7.33%,59,2024-04-02 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-04-01,海运煤炭价格指数,619.96,619.88,0.08,0.01%,60,2024-04-01 00:00:00,1,0,2024-07-20 09:58:30,0,2024-07-20 09:58:30,,,
2024-03-29,海运煤炭价格指数,619.88,616.50,3.38,0.55%,61,2024-03-29 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-28,海运煤炭价格指数,616.50,603.53,12.97,2.15%,62,2024-03-28 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-27,海运煤炭价格指数,603.53,588.64,14.89,2.53%,63,2024-03-27 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-26,海运煤炭价格指数,588.64,579.62,9.02,1.56%,64,2024-03-26 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-25,海运煤炭价格指数,579.62,571.88,7.74,1.35%,65,2024-03-25 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-22,海运煤炭价格指数,571.88,550.92,20.96,3.80%,66,2024-03-22 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
2024-03-21,海运煤炭价格指数,550.92,550.33,0.59,0.11%,67,2024-03-21 00:00:00,1,0,2024-07-20 09:58:33,0,2024-07-20 09:58:33,,,
