时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,约旦,0.00,0.00,0.00,0.00,34,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,不丹,0.00,0.00,0.00,0.00,35,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,美国,0.00,0.00,0.00,0.00,36,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,加拿大,0.00,0.00,0.00,0.00,37,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,墨西哥,4800.00,162071.00,1459.20,50206.56,38,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,洪都拉斯,0.00,28.00,0.00,13.84,39,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,危地马拉,0.00,16.00,0.00,5.62,40,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,萨尔瓦多,0.00,34.00,0.00,23.80,41,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,俄罗斯,25.00,20132.00,11.26,10039.22,42,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,德国,0.00,0.00,0.00,0.00,43,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,荷兰,0.00,64320.00,0.00,12402.75,44,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,挪威,0.00,11709.00,0.00,2742.69,45,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,奥地利,0.00,0.00,0.00,0.00,46,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,比利时,54720.00,197720.00,8456.98,41832.31,47,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,法国,0.00,0.00,0.00,0.00,48,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,罗马尼亚,0.00,0.00,0.00,0.00,49,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,西班牙,0.00,83.00,0.00,20.43,50,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,英国,0.00,22000.00,0.00,3740.00,51,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,克罗地亚,0.00,20500.00,0.00,3075.00,52,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,冰岛,0.00,0.00,0.00,0.00,53,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,波兰,0.00,985.00,0.00,167.38,54,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,芬兰,0.00,0.00,0.00,0.00,55,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
2024-05,瑞典,0.00,0.00,0.00,0.00,56,2024-05-31 00:00:00,1,0,2024-07-21 00:39:14,0,2024-07-21 00:39:14,,,
