时间,库存合计(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,27.40,1,2024-07-18 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-07-11,26.70,2,2024-07-11 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-07-04,29.90,3,2024-07-04 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-06-27,23.80,4,2024-06-27 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-06-20,23.10,5,2024-06-20 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-06-13,23.30,6,2024-06-13 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-06-06,23.20,7,2024-06-06 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-05-30,22.20,8,2024-05-30 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-05-23,23.10,9,2024-05-23 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-05-16,23.40,10,2024-05-16 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-05-09,93.00,11,2024-05-09 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-05-09,24.80,12,2024-05-09 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-04-25,23.50,13,2024-04-25 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-04-18,17.00,14,2024-04-18 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-04-11,16.00,15,2024-04-11 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-04-04,13.10,16,2024-04-04 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-03-28,13.90,17,2024-03-28 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-03-21,11.90,18,2024-03-21 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-03-14,12.80,19,2024-03-14 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-03-07,13.50,20,2024-03-07 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-02-29,17.50,21,2024-02-29 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-02-22,21.30,22,2024-02-22 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-02-08,30.70,23,2024-02-08 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-02-01,31.40,24,2024-02-01 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-01-25,39.30,25,2024-01-25 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-01-18,41.40,26,2024-01-18 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-01-11,51.80,27,2024-01-11 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2024-01-04,64.50,28,2024-01-04 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2023-12-28,70.80,29,2023-12-28 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2023-12-21,83.00,30,2023-12-21 00:00:00,1,0,2024-07-20 11:22:09,0,2024-07-20 11:22:09,,,
2023-12-14,96.80,31,2023-12-14 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-12-07,94.70,32,2023-12-07 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-11-30,86.50,33,2023-11-30 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-11-23,92.90,34,2023-11-23 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-11-16,98.80,35,2023-11-16 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-11-09,98.50,36,2023-11-09 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-11-02,84.50,37,2023-11-02 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-10-27,80.30,38,2023-10-27 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-10-19,72.50,39,2023-10-19 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-10-12,60.70,40,2023-10-12 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-09-21,57.80,41,2023-09-21 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-09-14,57.20,42,2023-09-14 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-09-07,59.90,43,2023-09-07 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-08-31,46.30,44,2023-08-31 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-08-24,47.50,45,2023-08-24 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-08-17,48.10,46,2023-08-17 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
2023-08-10,48.90,47,2023-08-10 00:00:00,1,0,2024-07-20 11:22:13,0,2024-07-20 11:22:13,,,
