时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-07-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1780.00,出厂价,26,2023-07-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2023-06-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1780.00,出厂价,27,2023-06-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2023-06-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,1815.00,出厂价,28,2023-06-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2023-05-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2150.00,出厂价,29,2023-05-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2023-05-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,1930.00,出厂价,30,2023-05-01 00:00:00,1,0,2024-07-17 09:14:56,0,2024-07-17 09:14:56,,,
2023-04-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2350.00,出厂价,31,2023-04-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-04-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2130.00,出厂价,32,2023-04-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-03-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,33,2023-03-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-03-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,34,2023-03-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-02-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,35,2023-02-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
