时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-05-30,螺纹钢,394.59,1,2025-05-30 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-30,线材,55.76,2,2025-05-30 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-30,冷轧,131.08,3,2025-05-30 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-30,中厚板,92.25,4,2025-05-30 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-30,热卷,257.79,5,2025-05-30 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-23,热卷,263.27,6,2025-05-23 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-23,螺纹钢,416.46,7,2025-05-23 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-23,冷轧,129.56,8,2025-05-23 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-23,中厚板,94.41,9,2025-05-23 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-23,线材,55.84,10,2025-05-23 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-16,中厚板,96.89,11,2025-05-16 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-16,螺纹钢,434.88,12,2025-05-16 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-16,冷轧,127.20,13,2025-05-16 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-16,热卷,269.35,14,2025-05-16 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-16,线材,64.32,15,2025-05-16 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-09,中厚板,97.64,16,2025-05-09 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-09,螺纹钢,465.36,17,2025-05-09 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-09,线材,63.20,18,2025-05-09 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-09,冷轧,125.41,19,2025-05-09 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-09,热卷,280.32,20,2025-05-09 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-02,热卷,268.77,21,2025-05-02 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-02,线材,63.54,22,2025-05-02 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-02,螺纹钢,470.84,23,2025-05-02 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-02,中厚板,95.92,24,2025-05-02 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-05-02,冷轧,123.44,25,2025-05-02 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-25,线材,65.71,26,2025-04-25 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-25,冷轧,125.48,27,2025-04-25 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-25,螺纹钢,508.60,28,2025-04-25 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-25,中厚板,99.70,29,2025-04-25 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-25,热卷,282.86,30,2025-04-25 00:00:00,1,0,2025-06-06 23:22:03,0,2025-06-06 23:22:03,,,
2025-04-18,热卷,289.72,31,2025-04-18 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-18,中厚板,102.32,32,2025-04-18 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-18,螺纹钢,532.76,33,2025-04-18 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-18,线材,73.79,34,2025-04-18 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-18,冷轧,125.20,35,2025-04-18 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-11,冷轧,123.35,36,2025-04-11 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-11,热卷,298.08,37,2025-04-11 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-11,线材,84.97,38,2025-04-11 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-11,螺纹钢,563.10,39,2025-04-11 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-11,中厚板,106.16,40,2025-04-11 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-04,中厚板,108.26,41,2025-04-04 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-04,冷轧,121.68,42,2025-04-04 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-04,螺纹钢,590.95,43,2025-04-04 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-04,热卷,301.09,44,2025-04-04 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-04-04,线材,92.51,45,2025-04-04 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-03-28,热卷,310.82,46,2025-03-28 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
2025-03-28,冷轧,120.23,47,2025-03-28 00:00:00,1,0,2025-06-06 23:22:07,0,2025-06-06 23:22:07,,,
