时间,数据项目,总体情况,年粗钢产量≤200,年粗钢产量200-600,年粗钢产量≥600,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-10-13,高炉开工率(%),82.20,,,,37,2023-10-13 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-09-22,高炉开工率(%),84.47,,,,38,2023-09-22 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-09-15,高炉开工率(%),84.07,,,,39,2023-09-15 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-09-08,高炉开工率(%),84.39,,,,40,2023-09-08 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-09-01,高炉开工率(%),84.09,,,,41,2023-09-01 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-08-25,高炉开工率(%),83.36,,,,42,2023-08-25 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-08-18,高炉开工率(%),84.09,,,,43,2023-08-18 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-08-11,高炉开工率(%),83.80,,,,44,2023-08-11 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-08-04,高炉开工率(%),83.36,,,,45,2023-08-04 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-07-28,高炉开工率(%),82.14,,,,46,2023-07-28 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-07-20,高炉开工率(%),83.60,,,,47,2023-07-20 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-07-13,高炉开工率(%),84.33,,,,48,2023-07-13 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-07-07,高炉开工率(%),84.48,,,,49,2023-07-07 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-06-30,高炉开工率(%),79.91,,,,50,2023-06-30 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-06-16,高炉开工率(%),83.09,,,,51,2023-06-16 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-06-09,高炉开工率(%),82.36,,,,52,2023-06-09 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-06-02,高炉开工率(%),82.36,,,,53,2023-06-02 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-05-26,高炉开工率(%),82.36,,,,54,2023-05-26 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-05-19,高炉开工率(%),82.36,,,,55,2023-05-19 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-05-12,高炉开工率(%),81.10,,,,56,2023-05-12 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-05-05,高炉开工率(%),81.69,,,,57,2023-05-05 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-04-28,高炉开工率(%),82.56,,,,58,2023-04-28 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-04-21,高炉开工率(%),84.59,,,,59,2023-04-21 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-04-14,高炉开工率(%),84.74,,,,60,2023-04-14 00:00:00,1,0,2024-07-20 23:48:24,0,2024-07-20 23:48:24,,,
2023-04-07,高炉开工率(%),84.30,,,,61,2023-04-07 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-03-31,高炉开工率(%),83.87,,,,62,2023-03-31 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-03-24,高炉开工率(%),82.73,,,,63,2023-03-24 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-03-17,高炉开工率(%),82.29,,,,64,2023-03-17 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-03-10,高炉开工率(%),82.00,,,,65,2023-03-10 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
